topic,source_file,copied_to,exists,bytes,item_count
概念简答/定义解释,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_答案版.tex,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\10_概念简答_综合证明\原始文件副本\17_第5章理想流体_原题练习汇总_答案版.tex,True,9778,2
概念简答/定义解释,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_补充练习题单.pdf,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\10_概念简答_综合证明\原始文件副本\18_第5章理想流体_补充练习题单.pdf,True,99901,5
概念简答/定义解释,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_补充练习题单.tex,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\10_概念简答_综合证明\原始文件副本\19_第5章理想流体_补充练习题单.tex,True,7293,7
概念简答/定义解释,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章第6章流体力学作业_标准教案.pdf,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\10_概念简答_综合证明\原始文件副本\20_第5章第6章流体力学作业_标准教案.pdf,True,133095,6
概念简答/定义解释,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章第6章流体力学作业_标准教案.tex,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\10_概念简答_综合证明\原始文件副本\21_第5章第6章流体力学作业_标准教案.tex,True,15411,8
概念简答/定义解释,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第8章粘性流动作业1_完整答案.tex,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\10_概念简答_综合证明\原始文件副本\22_第8章粘性流动作业1_完整答案.tex,True,9361,3
概念简答/定义解释,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第8章粘性流动作业1_完整题目.tex,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\10_概念简答_综合证明\原始文件副本\23_第8章粘性流动作业1_完整题目.tex,True,3663,1
概念简答/定义解释,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第8章粘性流动作业_补全笔记.pdf,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\10_概念简答_综合证明\原始文件副本\24_第8章粘性流动作业_补全笔记.pdf,True,110679,1
概念简答/定义解释,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第8章粘性流动作业_补全笔记.tex,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\10_概念简答_综合证明\原始文件副本\25_第8章粘性流动作业_补全笔记.tex,True,9720,6
概念简答/定义解释,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第七章作业3_更简写答案.md,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\10_概念简答_综合证明\原始文件副本\26_第七章作业3_更简写答案.md,True,3682,3
概念简答/定义解释,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第七章作业3_简写答案.md,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\10_概念简答_综合证明\原始文件副本\27_第七章作业3_简写答案.md,True,5932,3
概念简答/定义解释,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\粘性流动作业-2\01_课本题目补全.md,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\10_概念简答_综合证明\原始文件副本\28_01_课本题目补全.md,True,1677,2
概念简答/定义解释,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\粘性流动作业-2\08_书10.3_排挤厚度和动量损失厚度.md,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\10_概念简答_综合证明\原始文件副本\29_08_书10.3_排挤厚度和动量损失厚度.md,True,2562,1
概念简答/定义解释,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\粘性流动作业-2\13_粘性流动作业-2_题目与答案.tex,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\10_概念简答_综合证明\原始文件副本\30_13_粘性流动作业-2_题目与答案.tex,True,13506,1
概念简答/定义解释,D:\虚拟C盘\学习\流体力学\张扬军（车辆学院）\教材\流体力学教材_text.txt,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\10_概念简答_综合证明\原始文件副本\31_流体力学教材_text.txt,True,877683,28
