item_id,source_label,question_no,inferred_topic,v10_percent,v14_adjusted_percent,audit_class,audit_action,audit_reason,needed_supplement,question_text,source_file
Q0324,01_课本题目补全.md,7,概念简答/定义解释,35.0,41.0,假低分：题号索引未补原题,不改六页内容；完整题目/答案已另见 07_书10.2_平板层流边界层.md、10_书10.10_火车摩擦阻力功率.md 和 13_粘性流动作业-2_题目与答案.tex。,当前低分来自题号索引副本，不是完整题；完整题源在同一作业文件夹中已经存在。,v10 已显著补强短答，但长论述、实验现象细节和教材原话仍可能扣少量分。,7. 书 10.10 （题干在原文件中为图片或标题索引，文字抽取不足。）,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\粘性流动作业-2\01_课本题目补全.md
Q0405,流体力学教材_text.txt,3.6,流体运动学/连续/流线迹线,58.0,66.0,真限制：长推导/边界条件衔接,v14 已给骨架；想拿满分需要考前按2-3题手写训练，把题目边界条件接到骨架上。,这类题靠速查表只能保结构分，不能替代推导熟练度。,若要求长篇推导或复杂坐标变换，仍需教材细节；v10 已足够支撑多数简答和基础计算过程。,"3.6.2 速度势与环量 在无旋流动中，无限接近的毗邻两点的速度势之差为 dφ = ∇φ ⋅ dr (3.6.4) 则任意两点之间的速度势之差可以由式(3.6.4)积分求得。如图 3-15 所示，在某一时刻 t，连 接 无 旋 流 场 中 的 两 点 Po ( xo , yo , zo ) 和 P ( x, y, z ) 的任意两条曲线 B1 和 B2 ，那么 P 、 Po 两点上的速度势之差为 φP − φPo = ∫ d φ = ∫ V ⋅ dr (3.6.5) Po B1P Po B1P 若沿 Po B1PB2 Po 积分，可以得到同一点上势函 数的差值为 图 3-15 两点速度势之差 φP′o − φPo = ∫ dφ = ∫ V ⋅ dr (3.6.6) Po B1PB2 Po Po B1PB2 Po 第3章 流体运动描述与分析 ·51· 如果式(3.6.6)的右侧为零，则流场中 φ 是单值函数，否则 φ 为多值函数。速度势 φ 的性质 与所讨论的流场是单连通域还是多连通域密切相关，其中单连通域与多连通域的定义可简单 说明如下。 如果在某个空间区域中，任意两点能以连续线连接起来，并且连线在任何地方都不越过 这个区域的边界，这样的空间区域称为连通域。如果在连通域中，任意封闭曲线能连续地收 缩成一点而不越过连通域的边界，则这种连通域称为单连通域。例如，球表面内部的空间区 域、两个同心球之间的空间区域等都是单连通域。凡是不具有单连通域性质的连通域称为多 连通域。单连通域中，由于任意曲线都是可缩曲线，所以根据斯托克斯定理，式(3.6.6)可写成 φP′0 − φP0 = v∫ V ⋅ dr = ∫∫ ( ∇ × V ) ⋅ ndA = 0 (3.6.7) Po B1PB2 Po A 其中，A 为以封闭曲线 Po B1PB2 Po 为边界的开口曲面。由此可以得如下结论：在单连通域中， 速度势是单值函数，并且沿任意封闭曲线的速度环量为零。因此，在单连通域中不可能存在 封闭流线。 科技前沿(3)——PIV 测速 习 题 ⎛ cos(ωt ) ⎞ 3-1 已知初始时刻位于 ( x0 ,0) 的流体质点运动轨迹满足满足 x(t , x0 ) = x0 ⎜ ⎟ ，求该 ⎝ sin(ωt ) ⎠ 流体质点的速度与加速度，并请问该流体质点在做什么运动？ ⎛ x ⎞ 3-2 在一维流场内，欧拉法描述的速度场为 u = V0 ⎜1 + ⎟ ，其中 x ∈ [ 0, L] 。求该流场的 ⎝ 2 L⎠ 加速度场。 3-3 假设流体质点运动的轨迹方程为 ⎧ x = C1et − t − 1 ⎪⎪ t ⎨ y = C2 e + t − 1 ⎪z = C ⎪⎩ 3 其中， C1 、 C2 、 C3 为常数。试求：(1) t = 0 时位于点 ( x, y, z ) = ( a, b, ",D:\虚拟C盘\学习\流体力学\张扬军（车辆学院）\教材\流体力学教材_text.txt
Q0438,流体力学教材_text.txt,8.1,量纲分析/相似准则,60.0,68.0,真限制：相似律冷门变量,保留Buckingham和常用准则；非常规变量按教材定义补充。,题目变量组合冷门时，六页表只能给流程。,若变量很冷门或需完整实验相似设计，仍需教材解释；v10 补了常见模型力、压强和速度比例换算。,8.1.1 量纲 每个物理量都有它的量纲，量纲分为基本量纲和导出量纲两类。对于一个物理过程而言， 基本量纲并不唯一，只要该物理过程中所有物理量的量纲都可通过它们的组合表示出来，而 它们又相互独立，就可以作为基本量纲。 在流体力学问题中，最常采用长度 [ L ] 、质量 [M ] 、时间 [T ] 为基本量纲，若涉及传热问 题，那么基本量纲中还需要加上温度 [Θ ] 。其他物理量的量纲均可由基本量纲推导出来，例如， 压力的量纲是 [ p ] = ML−1T −2 。一般情况下，对于流体力学中的任意一个物理量 A ，其量纲可 以用式(8.1.1)表示： [ A] = M a LbT c (8.1.1) 通常称式(8.1.1)为量纲公式，其中， a 、 b 、 c 可为正、负、整数或分数，具体取值取决于物理 量的定义和本质，例如，密度的量纲为 [ ρ ] = ML−3 。流体力学中常见物理量的量纲见表 8-1。 第 8 章 相似理论与量纲分析 ·93· 表 8-1 流体力学常用量的量纲 导出量 量纲 速度 V [V ] = LT −1 力F [ F ] = MLT −2 压强 p [ p ] = ML−1T −2 密度 ρ [ ρ ] = ML−3 动力黏度 μ [ μ ] = ML−1T −1 运动黏度 ν [ν ] = L2T −1 若式(8.1.1)中 a = b = c = 0 ，则 A 称为无量纲数或无量纲量。无量纲量可以是两个同类物 理量的比值，也可由有量纲量通过乘积组合而成，组合的结果使 a = b = c = 0 。量纲分析的目 的之一就是要找到正确组合各有关量形成无量纲量的方法。值得注意的是，有些方程中的常 数是有量纲的，如气体常数 R ，根据气体状态方程 p = ρ RT ， R 的量纲为 L2T −2Θ−1 。,D:\虚拟C盘\学习\流体力学\张扬军（车辆学院）\教材\流体力学教材_text.txt
Q0439,流体力学教材_text.txt,8.1,可压缩流/喷管/激波/膨胀波,63.0,68.0,真限制：完整图表/查表,六页表保留“查什么、怎么接公式”；完整数值仍查允许携带的教材。若强塞全表，会牺牲更多通用题。,这是资料物理限制，不是单个公式缺失。,斜激波图、PM 函数和面积-马赫数完整表仍可能需要教材；v10 把查表输入和后续接公式写得更明确。,"8.1.2 量纲齐次性原理及应用 量纲分析的理论基础是量纲齐次性原理。它可表述为：表达物理规律的函数关系(或方程 式)中，每一项都必须具有相同的量纲，称为量纲齐次式。例如，牛顿第二定律： f = ma (8.1.2) 其左、右两项的量纲必定是一致的。根据量纲齐次性原理，量纲不同的物理量之间只能进行 乘、除，不能进行加、减运算。在式(8.1.2)所示牛顿第二定律中，质量 m 和加速度 a 的量纲 是不同的，两者相乘以后得到力的量纲，故而可与力进行加、减运算。量纲齐次性原理的另 一表述为：一个正确而完整的物理方程，其各项的量纲都是相同的。可用这一原理来校核物 理方程和经验公式的正确性与完整性。一个不完全的物理方程，常常量纲也是不一致的。对 于量纲齐次的方程，只要用方程任一项的量纲去除其余各项，就可使方程的每一项都变成无 量纲量，从而将方程化为无量纲方程。基于量纲齐次性原理，通过量纲分析和换算，将原来 含有较多物理量的方程转化为含有较少无量纲量的方程，从而缩减方程变量、简化实验研究。 下面举例来说明。 实验观察表明，流体绕小球的定常流动中，影响小球受到的阻力 D 的因素有来流速度 u 、 流体密度 ρ 、动力黏度 μ 和小球直径 d 。于是有 D = D (u, d , μ , ρ ) 将阻力展开成级数的形式，可得 D = ∑ α i μ ai ρ bi d ci u di i =0 其中， α i 为无量纲的系数。取上式两边物理量的量纲，可以写出量纲关系式： ( ) ( ML ) ( L ) ( LT ) ai −3 bi ci −1 d i MLT −2 = ML−1T −1 根据量纲齐次性原理，由等式两边物理量的量纲相等可以得到 ·94· 流 体 力 学 ⎧ ai + bi = 1 ⎨ − ai − 3bi + ci + di = 1 ⎪ − ai − di = −2 三个方程中有四个未知量，可令其中一个量为参变量(此处令 d i 为参变量)，可得方程的 ai = 2 − di , bi = di − 1, ci = di 将上式代入前面的级数展开式中，可得 d −2 ⎛ ρ ud ⎞ i ∞ D = ∑ αi μ ρ d u = ρ u d ∑αi ⎜ ai bi ci di 2 2 i =0 i =0 ⎝ μ ⎠ 引入无量纲量 D ρ ud CD = 和 Re = ρu 2d 2 μ 分别称为阻力系数和雷诺数。可将阻力的级数表达形式写成阻力系数与雷诺数之间的函数关 系，即 CD = f ( Re) 以上分析表明，五个物理量之间的关系可简化为两个无量纲量之间的关系。",D:\虚拟C盘\学习\流体力学\张扬军（车辆学院）\教材\流体力学教材_text.txt
Q0440,流体力学教材_text.txt,8.1,量纲分析/相似准则,60.0,68.0,真限制：相似律冷门变量,保留Buckingham和常用准则；非常规变量按教材定义补充。,题目变量组合冷门时，六页表只能给流程。,若变量很冷门或需完整实验相似设计，仍需教材解释；v10 补了常见模型力、压强和速度比例换算。,"8.1.3 π 定理 瑞利在 1877 年首先提出了将量纲分析作为一种综合物理现象影响因素的方法。此后，白 金汉在 1914 年提出的 π 定理则奠定量纲分析理论基础，因此 π 定理也称为白金汉定理。 π 定 理可表述为：若某物理过程由 n 个物理量描述，把它写成数学表达式，即 f ( x1 , x2 , ⋅⋅⋅, xn ) = 0 ， 设这些物理量包含 r 个基本量纲，则该物理过程可用 n − m 个无量纲数组成的关系式来描述， 即 F (π1 , π 2 , ⋅⋅⋅, π n −m ) = 0 ，其中无量纲数是这样组成的：在变量 x1 , x2 , ⋅⋅⋅, xn 中选择 m ( m ≤ r ) 个量纲不同的变量作为重复变量，并把重复变量与其余变量逐个组成无量纲量 π ，共可组成 n − m 个无量纲量。这里 m 是 n 个物理量的量纲矩阵的秩。例如，选择 x1 , x2 , x3 为重复变量， 那么这 n − m 个无量纲量如下： π1 = x1a1 x2b1 x3c1 x4 π 2 = x1a2 x2b2 x3c2 x5 π n − m = x1an−m x2bn−m x3cn−m xn 根据物理方程的量纲齐次原理，确定待指定指数 a 、b 、c ，也就确定了每个无量纲量 π ， 并且最后可以得到由 n − m 个无量纲量组成的无量纲方程。一般来说，要将某物理过程用无量 纲量组成的函数关系式表达出来，根据 π 定理，需要以下几个步骤： (1)列出量纲齐次性方程中全部 n 个变量； (2)选定基本量纲，如 L、M、T； (3)列出所有 n 个变量的量纲，确定在其中出现的基本量纲数 r； (4)求出 n 个变量的量纲矩阵的秩，即在各 π 中重复出现的基本变量的个数 m； 第 8 章 相似理论与量纲分析 ·95· (5)选定 m 个基本变量，它们必须包括所有的基本量纲，与剩下的变量逐一组成 n − m 个 无量纲量 π ； (6)确定无量纲量及其方程， F (π1 , π 2 , ⋅⋅⋅, π n −m ) = 0 。 下面通过一个具体的实例来说明 π 定理的运用。 例题 8-1 黏性不可压缩流体在管内做定常流动时，管内流体的压降损失 Δp 与管内径 d 、 管道长度 l 、管壁粗糙度 ε 、管内流体平均流速 U 以及流体密度 ρ 和黏度 μ 有关。试用 π 定理 求解该物理问题的无量纲方程。",D:\虚拟C盘\学习\流体力学\张扬军（车辆学院）\教材\流体力学教材_text.txt
Q0446,流体力学教材_text.txt,7,可压缩流/喷管/激波/膨胀波,63.0,68.0,真限制：完整图表/查表,六页表保留“查什么、怎么接公式”；完整数值仍查允许携带的教材。若强塞全表，会牺牲更多通用题。,这是资料物理限制，不是单个公式缺失。,斜激波图、PM 函数和面积-马赫数完整表仍可能需要教材；v10 把查表输入和后续接公式写得更明确。,7. 马赫数 奥地利物理学家马赫(Mach)在研究可压缩流体流动时，提出了马赫数的定义。它是流体 运动速度与当地声速的比值，具体的表达式为 Ma = 它代表了惯性力与弹性力的量级之比。对于气体流动问题，当气体运动速度较低时 ( Ma ≤ 0.3 )，其压缩效应可以忽略不计(即流动可以视为不可压缩流动)；当气体运动速度较 高时( Ma > 0.3 )，就不能忽略压缩性对流动特性的影响。图 8-2 给出了一些物体运动的马赫数， 生活中常见的流动速度都远低于声速，因此，马赫数对流动的影响很小，此时的模型实验主 要考虑雷诺数的影响。 图 8-2 一些物体运动的马赫数 下面对以上几种常用的无量纲参数进行总结，如图 8-3 所示。,D:\虚拟C盘\学习\流体力学\张扬军（车辆学院）\教材\流体力学教材_text.txt
Q0455,流体力学教材_text.txt,8.4,流体运动学/连续/流线迹线,58.0,66.0,真限制：长推导/边界条件衔接,v14 已给骨架；想拿满分需要考前按2-3题手写训练，把题目边界条件接到骨架上。,这类题靠速查表只能保结构分，不能替代推导熟练度。,若要求长篇推导或复杂坐标变换，仍需教材细节；v10 已足够支撑多数简答和基础计算过程。,"8.4.1 完全相似与部分相似 按照上述原则安排实验，使模型实验流动与原型流动的全部相似参数分别相等，那么模 型实验流动与原型流动可以视为完全相似。这种严格的完全相似的要求，只有在模型和实物 尺寸相同的情况下才有可能实现。例如，在黏性不可压缩流体定常流动问题中，要使模型实 验流动与原型流动完全相似，则应满足雷诺数、弗劳德数、欧拉数等分别相等，即 ⎛ VL ⎞ ⎛ VL ⎞ ⎛ V ⎞ ⎛ V ⎞ ⎛ p ⎞ ⎛ p ⎞ ⎜ ⎟ =⎜ ⎟ , ⎜⎜ ⎟⎟ = ⎜⎜ ⎟⎟ , ⎜ 2 ⎟ =⎜ 2 ⎟ ⎝ ⎠m ⎝ ν ⎠p ⎝ gL ⎠m ⎝ gL ⎠p ⎝ ρV ⎠m ⎝ ρV ⎠ p 满足相似参数相等也意味着各个物理量的比例系数存在下列制约的关系： Cν = CV Cl ⎫ CV2 = C g Cl ⎬ (8.4.1) C p = Cρ CV2 ⎪⎭ 在设计模型实验时，如果选择三个基本比例系数(如 Cl , CV , Cρ )能满足式(8.4.1)给出的这三个 制约方程，则模型实验流动与原型流动可实现完全相似。通常情况下，重力加速度的比例系 数为 Cg = 1 ，从式(8.4.1)中第 2 式可得 CV2 = Cl 3 代入式(8.4.1)中第 1 式，可得 Cν = Cl2 虽然线性比例系数 Cl 可以任意选择，但要使流体运动黏度的比例系数 Cν 保持 Cl3/2 的数值 就不大容易。一般情况下，模型实验多用水或空气作为介质，如风洞、水洞、水槽等，上述 要求难以满足；另外，模型实验流动与原型流动的流体往往采用同一种流体，此时 Cν = 1 ， 于是从式(8.4.1)中第 1 式及第 2 式可得 1 CV = 1 CV = Cl 2 显然，只有 Cl = 1 时， CV 才可能同时满足以上两式。然而，这种情况下，模型实验也就 失去了意义。对于包含更多相似参数的情况，各种量比例系数的制约关系更复杂，要实现模 型实验流动与原型流动在力学上完全相似，最终导致模型实验流动与原型流动完全一样几乎 不可能实现。事实上，在许多工程问题中，各种相似参数的重要性并不等同。例如，若流动 中存在气-液交界面(如气泡在液体中运动)或气-液交界面与固体壁面接触，当液体的表面张力 起显著作用时，We 相似参数才会变得重要，而在一般流动问题中则不必考虑。忽略一些对流 第 8 章 相似理论与量纲分析 ·107· 动问题影响较小的相似参数，仅考虑起主要作用的相似参数，这种相似称为部分相似。保证 模型实验流动与原型流动部分相似的实验方法便是近似模型法。",D:\虚拟C盘\学习\流体力学\张扬军（车辆学院）\教材\流体力学教材_text.txt
Q0456,流体力学教材_text.txt,1,量纲分析/相似准则,60.0,68.0,真限制：相似律冷门变量,保留Buckingham和常用准则；非常规变量按教材定义补充。,题目变量组合冷门时，六页表只能给流程。,若变量很冷门或需完整实验相似设计，仍需教材解释；v10 补了常见模型力、压强和速度比例换算。,1. 雷诺相似 许多实际流动主要受黏性力、压力和惯性力的作用。例如，管道内流体的流动，由于不 存在自由面，没有表面张力作用，可不考虑 We 相似参数。与此同时，重力不影响流场，故可 不考虑 Fr 相似参数。如果流速与声速相比很低，流体的压缩性影响也可以忽略不计，即不必 考虑作用在流体上的弹性力及相应的 Ma 相似参数。 从动力学相似的观点来看，若两个流场在空间对应点上作用的同种力的方向相同、大小 成同一比例，则满足动力相似。对于仅考虑黏性力、压力和惯性力这三种力的情况，在空间 对应点上，模型实验流动中的惯性力和黏性力应该和原型流动中的惯性力和黏性力成同一比 例。因此，只要在空间对应点上满足雷诺数相等即可。从更具有普遍意义的相似定理来看， 两个流动相似，则相似参数对应相等，由 π 定理得出的相似参数满足的方程也相同。在 n − k 个 相似参数中，其中 n − k − 1 个是独立相似参数或称为决定性相似参数(相当于函数的自变量)， 一个为非独立相似参数或非决定性相似参数(相当于函数的因变量)。对于仅考虑黏性力、压 力和惯性力作用的流动问题，将雷诺数以及其他与几何尺寸有关的无量纲参数看作独立相似 参数，欧拉数可视为非独立相似参数。 在几何相似的前提下，流动现象相似的决定性相似参数仅为雷诺数，则模型实验必须遵 守的相似称为雷诺相似。在满足雷诺相似的情况下，如果模型的缩放比例或介质选取不当， 可能会出现模型实验流动的速度太大难以实施，亦或是模型实验流动的压缩性影响变得重要， 实验会带来较大的误差甚至错误的结果。实验表明，当 Re 大到一定程度，即惯性力与黏性力 之比大到一定程度时，黏性力的影响相对减弱。若继续提高 Re 将不会影响流动现象和流动特 征。此时，阻力的相似并不要求雷诺数相等，即与雷诺数无关，这种情形称为自动模化状态 或自模化状态。例如，在管道流动中，当流动雷诺数大到一定程度时，描述沿程机械能损失 的阻力系数仅取决于管道的相对粗糙度。这时只要保证几何相似就能使流动相似，这给模型 实验研究带来了很大的方便。,D:\虚拟C盘\学习\流体力学\张扬军（车辆学院）\教材\流体力学教材_text.txt
Q0458,流体力学教材_text.txt,3,量纲分析/相似准则,60.0,68.0,真限制：相似律冷门变量,保留Buckingham和常用准则；非常规变量按教材定义补充。,题目变量组合冷门时，六页表只能给流程。,若变量很冷门或需完整实验相似设计，仍需教材解释；v10 补了常见模型力、压强和速度比例换算。,3. 其他相似 当流体的压缩性对流动现象起到重要作用时，则需要考虑的相似参数为马赫数。例如， 在可压缩气流中，一般情况下，决定性相似参数为马赫数和雷诺数。要使模型实验流动与原 型流动相似，应满足 ⎛V ⎞ ⎛V ⎞ ⎛ lV ρ ⎞ ⎛ lV ρ ⎞ ⎜ ⎟ =⎜ ⎟ 和 ⎜ ⎟ =⎜ ⎟ ⎝ a ⎠m ⎝ a ⎠p ⎝ μ ⎠m ⎝ μ ⎠p lp ρp μm Vm am 同时满足以上两个条件，则需要 = = lm ρm μp Vp ap 如果黏性影响可以忽略不计，或者流动状态处于自动模化的雷诺数范围，那么马赫数就 是唯一的决定性相似参数。只要满足模型实验流动与原型流动的马赫数相等就能保证两种流 动的压缩性效应相似。由于马赫数中不包含特征长度，所以它对模型的尺寸没有任何限制。 Vm = Vp 。 此时，模型实验流动的介质可用与原型流动相同的介质，即有 am = ap， 当流体的黏性影响可以忽略或者流动处于自模化的雷诺数范围，设计模型实验时，其黏 性往往可以不必考虑，即不考虑雷诺数。如果是管道中的液体流动或者气体的低速流动，重 力、弹性力及表面张力也不必要考虑，只需考虑代表压力与惯性力之比的欧拉数就可以了。 在此情况下应有 ⎛ p ⎞ ⎛ p ⎞ ⎜ 2 ⎟ =⎜ 2 ⎟ ⎝ ρV ⎠m ⎝ ρV ⎠p 其中， Δp 为流场内两点间的压强差。在实际应用中，对于物体的绕流问题，常选取无穷远处 p − p∞ 来流的压强 p∞ 作为参考压强，即有 Δp = p − p∞ 。同时，定义压强系数 p = 2 。对于有 ρV∞2 气穴现象的液体流动问题，参考压强可选为液体在该温度下的饱和蒸气压强 pv ，此时模型实 验流动和原型流动的欧拉数(或压强系数)应满足 ⎛ p − pv ⎞ ⎛ p − pv ⎞ 2⎜ 2 ⎟ = 2⎜ 2 ⎟ ⎝ ρV∞ ⎠ m ⎝ ρV∞ ⎠ p 该特殊形式的欧拉数称为气穴数，它是专门考虑气穴现象时的相似参数。 例题 8-3 内径为 75mm 的水平直管中，水流平均速度为 3m/s ，已知水的动力黏度 −3 μ = 1.139 × 10 Pa⋅ s ，密度 ρ = 999.1kg/ m3 。若用相同的管道以空气为介质做模型实验，空气 的动力黏度 μ = 1.788 × 10−5 Pa⋅ s ，密度 ρ = 1.225kg/ m3 。要使两种流动相似，气流平均速度应 第 8 章 相似理论与量纲分析 ·109· 为多大？若在管道 5 m 长范围测得气流压降为 906.4 Pa ，与之相似的水流在相同长度下压降为 多大？,D:\虚拟C盘\学习\流体力学\张扬军（车辆学院）\教材\流体力学教材_text.txt
Q0482,流体力学教材_text.txt,1,粘性管路/沿程局部损失/泵水轮机,66.0,68.0,真限制：完整图表/查表,六页表保留“查什么、怎么接公式”；完整数值仍查允许携带的教材。若强塞全表，会牺牲更多通用题。,这是资料物理限制，不是单个公式缺失。,局部损失系数、粗糙度和物性仍需题给或查教材；v10 明确了 Moody、光滑管和局部损失速度的收口。,1. Boussinesq 涡黏模式 Boussinesq 在 1877 年基于比拟的思想，把流体微团的湍流脉动比拟为分子运动的涨落， 即流体微团的平均运动速度比拟为分子的宏观平均速度，将湍流脉动动量的输运比拟为分子 运动的涨落所致动量输运。由于分子运动涨落所致动量输运的宏观统计平均为黏性应力，与 之相应，湍流脉动动量输运的宏观统计平均则为雷诺应力。根据上述比拟思想，雷诺应力可 表示为 第 9 章 黏性不可压缩流体的内部流动 ·131· 2 − ui′u ′j = 2ν T Sij − kδ ij (9.6.1) 3 其中，ν T 为涡黏度，它与分子运动黏度ν 具有相同的量纲； Sij = ( ∂ u / ∂x + ∂ u / ∂ x ) / 2 i j j i 为平均剪切应变率张量；k 为湍动能。式(9.6.1)中，当 i ≠ j 时，最后一项为零；而当 i = j 时， 对于不可压缩流动，根据连续性方程有 Sii = 0 ，式(9.6.1)即为湍动能定义式。虽然湍流雷诺 应力表达式(9.6.1)与牛顿流体本构方程形式上一致，但与运动黏度ν 不同，涡黏度ν T 不是流 体介质的物性参数，它与湍流的统计平均速度场有关，而且ν T 仍是一个未知变量，为使问题 封闭可解，还需建立ν T 与统计平均速度场之间的关系。 分子运动和湍流流动虽然在形式上相像，但它们之间存在本质差别。湍流脉动场与平均 场之间存在动量、能量的交换，但是分子运动与宏观流动之间却不存在这种交换。分子运动 的动能并不来自宏观运动，流体黏度 μ 或 ν 是分子运动的特性，与宏观运动无关。相反，湍 流的涡黏度ν T 不但与湍流脉动密切相关，还和统计平均流场有关。因此，这种基于比拟思想 的涡黏性理论具有物理本质上的缺陷。,D:\虚拟C盘\学习\流体力学\张扬军（车辆学院）\教材\流体力学教材_text.txt
Q0544,流体力学教材_text.txt,11.2,流体运动学/连续/流线迹线,58.0,66.0,真限制：长推导/边界条件衔接,v14 已给骨架；想拿满分需要考前按2-3题手写训练，把题目边界条件接到骨架上。,这类题靠速查表只能保结构分，不能替代推导熟练度。,若要求长篇推导或复杂坐标变换，仍需教材细节；v10 已足够支撑多数简答和基础计算过程。,11.2.2 拉格朗日定理 根据开尔文定理，可以推导得到拉格朗日定理。具体描述是：理想正压流体在势力场作 用下，若某一时刻连续流场无旋，则流场始终无旋。证明过程如下。 证明：令 t0 时刻流场无旋，流场中任意位置均有 ∇ × V = 0 。流场中通过任意曲面上的涡 通量也为零，相应数学表达形式为 J = ∫∫ ( ∇ × V ) ⋅ ndA = 0 (11.2.7) 根据斯托克斯公式，任意封闭曲线上的速度环量等于通过该周线上曲面的涡通量，即初 始时刻任意封闭曲线上速度环量也等于零： Γ = v∫ V ⋅ dl = ∫∫ ( ∇ × V ) ⋅ ndA = 0 (11.2.8) l A 取任意初始封闭曲线为流体线，根据开尔文定理，当跟随它运动到 t 时刻，在这些封闭曲 线上的速度环量始终等于初始环量，即等于零。换句话说，对于任意时刻的任意封闭曲线有 Γ = v∫ V ⋅ dl = 0 (11.2.9) l(t ) 再由斯托克斯公式，可证明任意时刻通过张在任意封闭曲线 l ( t ) 上曲面的涡通量等于零， 第 11 章 不可压缩理想流体流动 ·191· J = ∫∫ ( ∇ × V ) ⋅ ndA = 0 (11.2.10) A( t ) 由于式(11.2.10)中 A ( t ) 为流场中的任意曲面，在任意时刻流场中处处满足 ∇ × V = 0 ，即流场 始终无旋。 拉格朗日定理说明，理想正压流体在势力场作用下运动时，流场中的涡量是不生不灭的。 若在某一时刻流场无旋则永远无旋，反之若流场在某一时刻有旋，则永远有旋，其涡量不可 能产生也不可能消失。本质上这是因为理想流体中不存在切应力，不能传递旋转运动。既不 能使无旋转的流体微团产生旋转，也不能使旋转的流体微团停止旋转。当开尔文定理的条件 得不到满足时，流体在运动过程中会产生涡量，并可能会形成旋涡。例如，大范围的大气应 视为非正压性流体，科里奥利力是非有势的质量力，这就是大范围大气会形成环流和旋风的 根本原因。,D:\虚拟C盘\学习\流体力学\张扬军（车辆学院）\教材\流体力学教材_text.txt
Q0578,流体力学教材_text.txt,1.4,可压缩流/喷管/激波/膨胀波,63.0,68.0,真限制：完整图表/查表,六页表保留“查什么、怎么接公式”；完整数值仍查允许携带的教材。若强塞全表，会牺牲更多通用题。,这是资料物理限制，不是单个公式缺失。,斜激波图、PM 函数和面积-马赫数完整表仍可能需要教材；v10 把查表输入和后续接公式写得更明确。,1.4 ⎝ 0.22 ⎠ 2 × 1.4 ⎢⎣ (1.4 − 1) × 0.22 +2 ⎥⎦ = 14.53 求解上式即可获得管道的最大长度为 d 0.03 lmax = 14.53 = 14.53 × = 21.8(m) λ 0.02 解毕。 科技前沿(12)——连续旋转爆震发动机 习 题 12-1 设 m、n 为常数，试证明：在理想气体等熵流动的任意两个状态点 1、2 之间，它 ·222· 流 体 力 学 的静压之比以及密度之比是温度之比的幂函数，即 p2 p1 = (T2 T1 ) ， ρ2 ρ1 = (T2 T1 ) ，并导 m n 出 m、n 的表达式。 12-2 某人头顶上 1000m 高的空中有一架飞机飞过。当飞机水平前进了 2000m 时，此人 才听到飞机噪声。已知当地大气温度为 280 K ，求飞机的飞行速度、马赫数以及此人最先听 到的声音的声源位置。 12-3 已知一架飞机在观察站上空 H = 500m ，以速度 1836km/h 水平飞行，空气的温度 T = 15℃ ，求飞机飞过观察站正上方到观察站听到飞机声音需多长时间？ 12-4 假设空气做等熵流动，已知滞止压强 p0 = 490kPa ，滞止温度 T0 = 20℃ ，试求：滞 止声速 a0 及 Ma = 0.8 处的声速、流速和压强。 12-5 使一维气流在可逆绝热条件下压强降为 0Pa、温度降为 0K 时，气流速度达到最大 值 Vmax 。定义无量纲速度 τ 为气体运动速度 V 与最大速度 Vmax 的比值，即 τ = ，试求 τ 与 Vmax 马赫数 Ma 之间的关系式，并确定 τ 的取值范围(气体绝热指数为 k )。 12-6 高压蒸汽由收缩喷管流出，在进口断面流速为 200 m/ s ，温度为 350℃ ，绝对压强 为 1MPa 。气流在喷管中被加速，在出口处马赫数 Ma = 0.9 。已知蒸汽 R = 462 J/ ( kg⋅ K ) ，绝 热指数 k = 1.33 ，不计流动损失，求出口速度。 12-7 有 一 个 收 缩 喷 管 ， 气 流 在 进 口 截 面 上 的 参 数 为 p1 = 3 × 105 Pa ， T1 = 340 K ， V1 = 150 m/ s ， d1 = 46mm 。在出口截面上， Ma = 1 ，求出口处的压强、温度和直径(过程视 为等熵流动，气体常数 R = 287J/ ( kg ⋅ K ) ，绝热指数 k = 1.4 )。 12-8 已知储气室参数为 p0 = 1.52 MPa (绝对压强)， T0 = 27℃ ，空气从储气室通过一个 收缩喷管进入大气。设喷管出口面积 A2 = 31.7 mm 2 ，背压 pb = 101kPa (绝对压强)，不计损失。 试求出口压强 p2 及通过喷管的质量流量 Qm 。 12-9 空气稳定且等熵地通,D:\虚拟C盘\学习\流体力学\张扬军（车辆学院）\教材\流体力学教材_text.txt
