item_id,group,source_file,source_label,question_no,question_text,inferred_topic,cheatsheet_path,page_reference,solution_route,own_steps,needed_supplement,score_basis,estimated_score,max_score,normalized_percent,confidence,notes
Q0125,课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_完整解答版.pdf,第5章理想流体_原题练习汇总_完整解答版.pdf,三,三、思考题 S5.1–S5.5 S5.1 长方形平板下落时是否会旋转 会。若平板姿态有微小倾斜，两侧流速和压力分布不再完全对称，压力合力对质心产生力矩。理 想流体模型中可用绕板势流解释这种力矩来源；实际流体中还会叠加粘性和分离效应。因此微小 扰动可能使平板发生旋转。 S5.2 翼尖涡方向、起动涡和绕翼环量 机翼有升力时，上下翼面存在压力差，翼尖处高压侧气流绕向低压侧，形成一对翼尖涡。左右翼 尖涡旋转方向相反。 机翼从静止开始运动时，后缘脱落一个起动涡。由开尔文环量定理，总环量守恒，机翼周围会形 成与起动涡相反方向的绕翼环量。稳定后，绕翼环量与升力满足库塔–儒可夫斯基公式 L′ = ρU∞ Γ. S5.3 奇点叠加法中奇点为什么放在物体内部 奇点若放在流体区域内，会在实际流场中产生无穷大速度或非物理源汇，这与真实外部绕流不符。 因此奇点必须放在物体内部，使流体区域内速度有限。 总点源强度必须等于总点汇强度，是为了保证远处没有净流量增减，否则无穷远处会表现为一个 净源或净汇。 圆外点源关于圆的镜像必须是强度相等的一对源汇，是为了同时满足圆面不可穿透条件和无穷远 条件。 16 S5.4 平面运动和轴对称运动中涡量沿流线是否为常数 不可压、无粘、定常平面流动的涡量方程为 V · ∇ω = 0. 所以平面定常流动中 ω = 沿流线常数. 轴对称无旋转流动中，涡量方程给出守恒量不是 ω 本身，而通常是 = 沿流线常数. 原因是轴对称流动中涡线被拉伸时，半径 r 会改变，涡量本身随几何伸缩变化。 S5.5 对称翼型零攻角为何升力为零，有攻角为何升力不为零 对称翼型零攻角时，上下表面流动和压力分布关于中线对称，压力合力的垂直分量相互抵消，因 此升力为零。 有攻角时，上下表面速度分布不再对称。满足库塔条件后，翼型周围形成环量，按 L′ = ρU∞ Γ 产生升力。 飞机起飞时需要较大升力，所以起飞攻角应大于高空平飞攻角。但攻角过大会导致分离和失速， 因此不是越大越好。,势流/圆柱/镜像/升力,P2 > 基本流表；P2 > 圆柱绕流；Q3 > 势流题库速解；T2/T3 > 原题压缩收录；R6 > 结论句,P2,先搭基元叠加或圆柱绕流模型；求速度场和 Cp；再用 Bernoulli 求压力，沿边界积分力；环量题写 Kutta-Joukowski 升力。,1. 写 phi/psi 或基元叠加；2. 求速度分量；3. 用 Bernoulli 得压力或 Cp；4. 沿边界积分压力分量；5. 说明理想势流假设和单位展长。,半圆柱/开孔/镜像图的几何积分限仍要读图；真实阻力不能用理想势流满分解释。 v80 保留薄板小攻角环量估计和 Kutta 升力收口；复杂构形仍需正确选镜像/基元。,主题命中“势流/圆柱/镜像/升力”，v80 基础过程覆盖约 82%。；题型偏概念简答；v80 已有短答库，但非对应专栏仍扣少量组织分。；仍依赖教材图表或读图；v80 有小查表/查表动作和收口模板，但不是完整数值表。,7.2,10.0,72.0,中高,
Q0126,课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_完整解答版.pdf,第5章理想流体_原题练习汇总_完整解答版.pdf,四,"四、往年题节选完整解答 题 A：不可压缩无旋流动速度分布 u = Ax + By, v = Cx + Dy, w = 0 题问：若该流场满足连续性方程且无旋，求 A, B, C, D 需满足的条件。",流体运动学/连续/流线迹线,P1 > 连续性；Q1 > 迹线/流线/脉线；M18 > 往年题可能问法；M23 > 概念短答库；T6 > 常见问法到答案,P1,先判速度场/描述方法；写连续、旋度、流线/迹线微分式；概念题直接用 M18/M23 的一句话答案；应力题转 Q1 张量模板。,1. 先按题干关键词选模型；2. 在 v80 对应页写首个控制方程/公式；3. 把题给几何、单位和边界条件代入；4. 做代数求解或列出需要查图查表的位置；5. 检查单位、方向、绝压/表压或适用条件。,若要求长篇推导或复杂坐标变换，仍需教材细节；v80 已足够支撑多数简答和基础计算过程。 v67 已补推导题固定结构，v69/v80 补截面、边界条件和概念收口检查。 v80 保留新题定位入口、非定常 Bernoulli 推导条件、速度势单值/路径无关证明、Lagrange/Kelvin 可抄证明句、涡管强度 ΩA 守恒、涡量矩模板、自由射流动量通量和 RTT 入口，并补纳维-斯托克斯原词、圆管断面速度分布原词、渐变流测压管水头；更长证明仍需教材措辞。,主题命中“流体运动学/连续/流线迹线”，v80 基础过程覆盖约 85%。,8.5,10.0,85.0,中高,
Q0127,课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_完整解答版.pdf,第5章理想流体_原题练习汇总_完整解答版.pdf,1,"1. 连续性方程 不可压缩流体要求 ∇ · V = 0. 本题中 ∂u ∂v ∂w = A, = D, = 0. ∂x ∂y ∂z ∇ · V = A + D. 连续性方程给出 A + D = 0. 17",流体运动学/连续/流线迹线,P1 > 连续性；Q1 > 迹线/流线/脉线；M18 > 往年题可能问法；M23 > 概念短答库；T6 > 常见问法到答案,P1,先判速度场/描述方法；写连续、旋度、流线/迹线微分式；概念题直接用 M18/M23 的一句话答案；应力题转 Q1 张量模板。,1. 先按题干关键词选模型；2. 在 v80 对应页写首个控制方程/公式；3. 把题给几何、单位和边界条件代入；4. 做代数求解或列出需要查图查表的位置；5. 检查单位、方向、绝压/表压或适用条件。,若要求长篇推导或复杂坐标变换，仍需教材细节；v80 已足够支撑多数简答和基础计算过程。 v67 已补推导题固定结构，v69/v80 补截面、边界条件和概念收口检查。 v80 保留新题定位入口、非定常 Bernoulli 推导条件、速度势单值/路径无关证明、Lagrange/Kelvin 可抄证明句、涡管强度 ΩA 守恒、涡量矩模板、自由射流动量通量和 RTT 入口，并补纳维-斯托克斯原词、圆管断面速度分布原词、渐变流测压管水头；更长证明仍需教材措辞。,主题命中“流体运动学/连续/流线迹线”，v80 基础过程覆盖约 85%。,8.5,10.0,85.0,中高,
Q0128,课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_完整解答版.pdf,第5章理想流体_原题练习汇总_完整解答版.pdf,2,"2. 无旋条件 无旋要求 ∇ × V = 0. 因为 w = 0，且 u, v 与 z 无关，所以只需看 z 方向涡量： ∂v ∂u ωz = − . ∂x ∂y ∂v ∂u = C, = B. ∂x ∂y 无旋要求 C − B = 0. B = C. 最终条件为 A + D = 0, B = C. 题 B：半圆柱气膜馆势流分析 半圆柱半径 a，来流速度 V ，空气密度 ρ。用势流绕圆柱的上半部分近似气膜馆。",势流/圆柱/镜像/升力,P2 > 基本流表；P2 > 圆柱绕流；Q3 > 势流题库速解；T2/T3 > 原题压缩收录；R6 > 结论句,P2,先搭基元叠加或圆柱绕流模型；求速度场和 Cp；再用 Bernoulli 求压力，沿边界积分力；环量题写 Kutta-Joukowski 升力。,1. 写 phi/psi 或基元叠加；2. 求速度分量；3. 用 Bernoulli 得压力或 Cp；4. 沿边界积分压力分量；5. 说明理想势流假设和单位展长。,半圆柱/开孔/镜像图的几何积分限仍要读图；真实阻力不能用理想势流满分解释。 v80 保留薄板小攻角环量估计和 Kutta 升力收口；复杂构形仍需正确选镜像/基元。,主题命中“势流/圆柱/镜像/升力”，v80 基础过程覆盖约 82%。,8.2,10.0,82.0,中高,
Q0129,课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_完整解答版.pdf,第5章理想流体_原题练习汇总_完整解答版.pdf,3,"3. 升力合力 表面压力对半圆柱的竖直分量为 dL = −p(θ) sin θ · a dθ. 相对于外界均匀压强，真正产生净升力的是压力差 1 ∆p = p(θ) − p∞ = ρV 2 (1 − 4 sin2 θ). 2 气膜馆受到的向上升力可写为 Z π L=− ∆p sin θ a dθ. 0 代入： Z π 1 L = − ρV 2 a (1 − 4 sin2 θ) sin θ dθ. 2 0 积分 Z π sin θ dθ = 2, 0 Z π 4 sin3 θ dθ = . 0 3 1 2 4 5 L = − ρV a 2 − 4 · = ρV 2 a. 2 3 3 a = 5 m, V = 10 m/s, ρ = 1.29 kg/m3 , 5 L= × 1.29 × 102 × 5 = 1075 N/m. 3 若按单位长度计算： L ≈ 1.08 × 103 N/m, 方向向上.",势流/圆柱/镜像/升力,P2 > 基本流表；P2 > 圆柱绕流；Q3 > 势流题库速解；T2/T3 > 原题压缩收录；R6 > 结论句,P2,先搭基元叠加或圆柱绕流模型；求速度场和 Cp；再用 Bernoulli 求压力，沿边界积分力；环量题写 Kutta-Joukowski 升力。,1. 写 phi/psi 或基元叠加；2. 求速度分量；3. 用 Bernoulli 得压力或 Cp；4. 沿边界积分压力分量；5. 说明理想势流假设和单位展长。,半圆柱/开孔/镜像图的几何积分限仍要读图；真实阻力不能用理想势流满分解释。 v80 保留薄板小攻角环量估计和 Kutta 升力收口；复杂构形仍需正确选镜像/基元。,主题命中“势流/圆柱/镜像/升力”，v80 基础过程覆盖约 82%。；题目要求推导或定义积分；v80 有 M24/M25/M26 骨架，但完整推导仍扣少量严谨性分。；仍依赖教材图表或读图；v80 有小查表/查表动作和收口模板，但不是完整数值表。,7.0,10.0,70.0,中高,
Q0130,课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_完整解答版.tex,第5章理想流体_原题练习汇总_完整解答版.tex,未编号,本文件对应《第5章理想流体：原题练习汇总（去作业版）》。 写法按“考试可抄写”的顺序整理：先列方程或基本解，再代入题目条件，最后给结论。 符号约定：平面流动复势 \(w=\varphi+\ii\psi\)，点源强度 \(Q>0\) 表示流出，点涡强度用 \(\Gamma\) 或 \(q\) 表示，空气/液体密度按题给。,势流/圆柱/镜像/升力,P2 > 基本流表；P2 > 圆柱绕流；Q3 > 势流题库速解；T2/T3 > 原题压缩收录；R6 > 结论句,P2,先搭基元叠加或圆柱绕流模型；求速度场和 Cp；再用 Bernoulli 求压力，沿边界积分力；环量题写 Kutta-Joukowski 升力。,1. 写 phi/psi 或基元叠加；2. 求速度分量；3. 用 Bernoulli 得压力或 Cp；4. 沿边界积分压力分量；5. 说明理想势流假设和单位展长。,半圆柱/开孔/镜像图的几何积分限仍要读图；真实阻力不能用理想势流满分解释。 v80 保留薄板小攻角环量估计和 Kutta 升力收口；复杂构形仍需正确选镜像/基元。,主题命中“势流/圆柱/镜像/升力”，v80 基础过程覆盖约 82%。；仍依赖教材图表或读图；v80 有小查表/查表动作和收口模板，但不是完整数值表。,7.8,10.0,78.0,中高,
Q0131,课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_完整解答版.tex,第5章理想流体_原题练习汇总_完整解答版.tex,未编号,\subsection*{5.1 速度势建立无界流体中椭圆柱运动问题},势流/圆柱/镜像/升力,P2 > 基本流表；P2 > 圆柱绕流；Q3 > 势流题库速解；T2/T3 > 原题压缩收录；R6 > 结论句,P2,先搭基元叠加或圆柱绕流模型；求速度场和 Cp；再用 Bernoulli 求压力，沿边界积分力；环量题写 Kutta-Joukowski 升力。,1. 写 phi/psi 或基元叠加；2. 求速度分量；3. 用 Bernoulli 得压力或 Cp；4. 沿边界积分压力分量；5. 说明理想势流假设和单位展长。,半圆柱/开孔/镜像图的几何积分限仍要读图；真实阻力不能用理想势流满分解释。 v80 保留薄板小攻角环量估计和 Kutta 升力收口；复杂构形仍需正确选镜像/基元。,主题命中“势流/圆柱/镜像/升力”，v80 基础过程覆盖约 82%。,8.2,10.0,82.0,中,
Q0132,课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_完整解答版.tex,第5章理想流体_原题练习汇总_完整解答版.tex,未编号,"物面速度由平动和转动叠加： \bm V_b=U_0(t)\bm i+\omega(t)\bm k\times (x\bm i+y\bm j) =\bigl(U_0(t)-\omega y\bigr)\bm i+\omega x\bm j . 椭圆外法向量方向可取 \bm n \parallel \nabla F=\left(\frac{2x}{a^2},\frac{2y}{b^2}\right). 不可穿透条件为 \frac{\partial \varphi}{\partial n}=\bm V_b\cdot \bm n \quad \text{在}\quad \frac{x^2}{a^2}+\frac{y^2}{b^2}=1. 无界远处流体原静止，故 \nabla\varphi\to 0,\qquad r\to\infty . 题设环量 \(\Gamma=0\)，补充条件为 \oint_C \nabla\varphi\cdot \dd\bm l=0 . 这四条就是该问题的完整数学提法。",量纲分析/相似准则,P1 > 量纲分析模板；M25 > 量纲相似+推导骨架；M4 > 流程H；M6 > 标准解模板：相似；M13 > 模型律；M26 > 管路/模型,P1,列变量和基本量纲；选量纲独立且不含待求量的重复变量；逐个令 pi=X rho^a V^b L^c 求指数；最后用 M26 的 F~rho V^2 L^2、Delta p~rho V^2、Fr/Re 缩尺速度比做换算。,1. 先按题干关键词选模型；2. 在 v80 对应页写首个控制方程/公式；3. 把题给几何、单位和边界条件代入；4. 做代数求解或列出需要查图查表的位置；5. 检查单位、方向、绝压/表压或适用条件。,"若变量很冷门或需完整实验相似设计，仍需教材解释；v80 补了常见模型力、压强和速度比例换算。 v80 已补 Buckingham pi 五步流程和 Re/Fr/Ma/We/Eu 判据表；复杂多变量推导仍需手算。 v80 已补模型换算库 Q,t,f,F,Delta p,M,P 和 Re/Fr 冲突答题句；复杂 pi 群仍需手算。 v80 保留量纲齐次/Rayleigh 指数配平、完全/部分相似及 Re/Fr 冲突说明、关键词到 π 群的定位入口、球阻力 CD=f(Re) 标准推导，并补量纲公式、雷诺相似、自模化和压力系数 Cp/Eu 定义；冷门变量仍需逐项列量纲。",主题命中“量纲分析/相似准则”，v80 基础过程覆盖约 86%。,8.6,10.0,86.0,中高,
Q0133,课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_完整解答版.tex,第5章理想流体_原题练习汇总_完整解答版.tex,未编号,"管壁和固体边界均不可穿透，所以它们都是流线： \psi=C_1\quad \text{上壁},\qquad \psi=C_2\quad \text{下壁},\qquad \psi=C_3\quad \text{固体表面}. 若管内从左向右的体积流量为 \(Q\)，则上、下壁两条流线的差为 C_1-C_2=Q . 入口截面速度均匀且沿 \(x\) 轴，设入口高度为 \(2h\)，则 u=\frac{Q}{2h},\qquad v=0 . 由 \(u=\partial\psi/\partial y\) 得入口处 \psi(y)=\frac{Q}{2h}y+C . 出口处只需给出与入口相同的总流量条件。以上方程、壁面条件和流量条件构成封闭方程组。",量纲分析/相似准则,P1 > 量纲分析模板；M25 > 量纲相似+推导骨架；M4 > 流程H；M6 > 标准解模板：相似；M13 > 模型律；M26 > 管路/模型,P1,列变量和基本量纲；选量纲独立且不含待求量的重复变量；逐个令 pi=X rho^a V^b L^c 求指数；最后用 M26 的 F~rho V^2 L^2、Delta p~rho V^2、Fr/Re 缩尺速度比做换算。,1. 先按题干关键词选模型；2. 在 v80 对应页写首个控制方程/公式；3. 把题给几何、单位和边界条件代入；4. 做代数求解或列出需要查图查表的位置；5. 检查单位、方向、绝压/表压或适用条件。,"若变量很冷门或需完整实验相似设计，仍需教材解释；v80 补了常见模型力、压强和速度比例换算。 v80 已补 Buckingham pi 五步流程和 Re/Fr/Ma/We/Eu 判据表；复杂多变量推导仍需手算。 v80 已补模型换算库 Q,t,f,F,Delta p,M,P 和 Re/Fr 冲突答题句；复杂 pi 群仍需手算。 v80 保留量纲齐次/Rayleigh 指数配平、完全/部分相似及 Re/Fr 冲突说明、关键词到 π 群的定位入口、球阻力 CD=f(Re) 标准推导，并补量纲公式、雷诺相似、自模化和压力系数 Cp/Eu 定义；冷门变量仍需逐项列量纲。",主题命中“量纲分析/相似准则”，v80 基础过程覆盖约 86%。；仍依赖教材图表或读图；v80 有小查表/查表动作和收口模板，但不是完整数值表。,8.2,10.0,82.0,中高,
Q0134,课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_完整解答版.tex,第5章理想流体_原题练习汇总_完整解答版.tex,未编号,\subsection*{5.3 用流函数建立运动椭圆柱绕流问题},势流/圆柱/镜像/升力,P2 > 基本流表；P2 > 圆柱绕流；Q3 > 势流题库速解；T2/T3 > 原题压缩收录；R6 > 结论句,P2,先搭基元叠加或圆柱绕流模型；求速度场和 Cp；再用 Bernoulli 求压力，沿边界积分力；环量题写 Kutta-Joukowski 升力。,1. 写 phi/psi 或基元叠加；2. 求速度分量；3. 用 Bernoulli 得压力或 Cp；4. 沿边界积分压力分量；5. 说明理想势流假设和单位展长。,半圆柱/开孔/镜像图的几何积分限仍要读图；真实阻力不能用理想势流满分解释。 v80 保留薄板小攻角环量估计和 Kutta 升力收口；复杂构形仍需正确选镜像/基元。,主题命中“势流/圆柱/镜像/升力”，v80 基础过程覆盖约 82%。,8.2,10.0,82.0,中,
Q0135,课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_完整解答版.tex,第5章理想流体_原题练习汇总_完整解答版.tex,未编号,"坐标取在物体上。流体绝对运动无旋，因此在随体坐标中仍可用流函数表示相对流动： \nabla^2\psi=0 . 物面不可穿透，椭圆面为流线： \psi=C_b,\qquad \frac{x^2}{a^2}+\frac{y^2}{b^2}=1 . 远处流体原静止，而坐标系随物体以 \(U_0(t)\) 平移，所以在随体坐标中远处来流为 u\to -U_0(t),\qquad v\to 0,\qquad r\to\infty . 对应流函数远处渐近为 \psi\sim -U_0(t)y,\qquad r\to\infty . 若已知环量为 \(\Gamma\)，还需附加 \oint_C \bm V\cdot \dd\bm l=\Gamma . 这就是用流函数建立的定解问题。",流体运动学/连续/流线迹线,P1 > 连续性；Q1 > 迹线/流线/脉线；M18 > 往年题可能问法；M23 > 概念短答库；T6 > 常见问法到答案,P1,先判速度场/描述方法；写连续、旋度、流线/迹线微分式；概念题直接用 M18/M23 的一句话答案；应力题转 Q1 张量模板。,1. 先按题干关键词选模型；2. 在 v80 对应页写首个控制方程/公式；3. 把题给几何、单位和边界条件代入；4. 做代数求解或列出需要查图查表的位置；5. 检查单位、方向、绝压/表压或适用条件。,若要求长篇推导或复杂坐标变换，仍需教材细节；v80 已足够支撑多数简答和基础计算过程。 v67 已补推导题固定结构，v69/v80 补截面、边界条件和概念收口检查。 v80 保留新题定位入口、非定常 Bernoulli 推导条件、速度势单值/路径无关证明、Lagrange/Kelvin 可抄证明句、涡管强度 ΩA 守恒、涡量矩模板、自由射流动量通量和 RTT 入口，并补纳维-斯托克斯原词、圆管断面速度分布原词、渐变流测压管水头；更长证明仍需教材措辞。,主题命中“流体运动学/连续/流线迹线”，v80 基础过程覆盖约 85%。；仍依赖教材图表或读图；v80 有小查表/查表动作和收口模板，但不是完整数值表。,8.1,10.0,81.0,中高,
Q0136,课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_完整解答版.tex,第5章理想流体_原题练习汇总_完整解答版.tex,未编号,\subsection*{5.4 判断流函数、速度势、变形率和刚体转动角速度},势流/圆柱/镜像/升力,P2 > 基本流表；P2 > 圆柱绕流；Q3 > 势流题库速解；T2/T3 > 原题压缩收录；R6 > 结论句,P2,先搭基元叠加或圆柱绕流模型；求速度场和 Cp；再用 Bernoulli 求压力，沿边界积分力；环量题写 Kutta-Joukowski 升力。,1. 写 phi/psi 或基元叠加；2. 求速度分量；3. 用 Bernoulli 得压力或 Cp；4. 沿边界积分压力分量；5. 说明理想势流假设和单位展长。,半圆柱/开孔/镜像图的几何积分限仍要读图；真实阻力不能用理想势流满分解释。 v80 保留薄板小攻角环量估计和 Kutta 升力收口；复杂构形仍需正确选镜像/基元。,主题命中“势流/圆柱/镜像/升力”，v80 基础过程覆盖约 82%。,8.2,10.0,82.0,中,
Q0137,课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_完整解答版.tex,第5章理想流体_原题练习汇总_完整解答版.tex,未编号,\textbf{1. 判断是否存在不可压流函数},势流/圆柱/镜像/升力,P2 > 基本流表；P2 > 圆柱绕流；Q3 > 势流题库速解；T2/T3 > 原题压缩收录；R6 > 结论句,P2,先搭基元叠加或圆柱绕流模型；求速度场和 Cp；再用 Bernoulli 求压力，沿边界积分力；环量题写 Kutta-Joukowski 升力。,1. 写 phi/psi 或基元叠加；2. 求速度分量；3. 用 Bernoulli 得压力或 Cp；4. 沿边界积分压力分量；5. 说明理想势流假设和单位展长。,半圆柱/开孔/镜像图的几何积分限仍要读图；真实阻力不能用理想势流满分解释。 v80 保留薄板小攻角环量估计和 Kutta 升力收口；复杂构形仍需正确选镜像/基元。,主题命中“势流/圆柱/镜像/升力”，v80 基础过程覆盖约 82%。,8.2,10.0,82.0,中,
Q0138,课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_完整解答版.tex,第5章理想流体_原题练习汇总_完整解答版.tex,未编号,\textbf{3. 判断是否存在速度势},概念简答/定义解释,M18 > 往年题可能问法：一句话答案；M23 > 概念短答库；R6 > 可直接抄的结论句；M9 > 高频小问速答；M12 > 概念题保底,无直接页码,先定位 M18/M23/R6 的可抄定义句；按“定义一句+原因一句+后果一句”写；若有公式页，再补适用条件和易错点。,1. 先按题干关键词选模型；2. 在 v80 对应页写首个控制方程/公式；3. 把题给几何、单位和边界条件代入；4. 做代数求解或列出需要查图查表的位置；5. 检查单位、方向、绝压/表压或适用条件。,v80 已显著补强短答，但长论述、实验现象细节和教材原话仍可能扣少量分。 v67 补长论述结构，v69 补读图/收口检查，v80 补层流/湍流/渐变流可抄定义；教材原话仍可能扣分。 v80 已补 N-S 各项标准意义、控制体外力组成、层/湍速度剖面、Boussinesq 涡黏、水击波速因素、孔板/自由射流概念、渐变流测压管水头、Ma 物理意义与 0.3 判据、深水波定义、RTT 守恒入口、完全/部分相似短答和标准四行答案模板，适合先写过程分。,主题命中“概念简答/定义解释”，v80 基础过程覆盖约 89%。,8.9,10.0,89.0,中,
Q0139,课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_完整解答版.tex,第5章理想流体_原题练习汇总_完整解答版.tex,未编号,"\omega_z=\frac{\partial v}{\partial x}-\frac{\partial u}{\partial y}. 计算得 \frac{\partial v}{\partial x}=2x-y^2,\qquad \frac{\partial u}{\partial y}=x^2+2y. \omega_z=2x-y^2-x^2-2y\ne 0. 流动有旋，所以不存在速度势函数。",量纲分析/相似准则,P1 > 量纲分析模板；M25 > 量纲相似+推导骨架；M4 > 流程H；M6 > 标准解模板：相似；M13 > 模型律；M26 > 管路/模型,P1,列变量和基本量纲；选量纲独立且不含待求量的重复变量；逐个令 pi=X rho^a V^b L^c 求指数；最后用 M26 的 F~rho V^2 L^2、Delta p~rho V^2、Fr/Re 缩尺速度比做换算。,1. 先按题干关键词选模型；2. 在 v80 对应页写首个控制方程/公式；3. 把题给几何、单位和边界条件代入；4. 做代数求解或列出需要查图查表的位置；5. 检查单位、方向、绝压/表压或适用条件。,"若变量很冷门或需完整实验相似设计，仍需教材解释；v80 补了常见模型力、压强和速度比例换算。 v80 已补 Buckingham pi 五步流程和 Re/Fr/Ma/We/Eu 判据表；复杂多变量推导仍需手算。 v80 已补模型换算库 Q,t,f,F,Delta p,M,P 和 Re/Fr 冲突答题句；复杂 pi 群仍需手算。 v80 保留量纲齐次/Rayleigh 指数配平、完全/部分相似及 Re/Fr 冲突说明、关键词到 π 群的定位入口、球阻力 CD=f(Re) 标准推导，并补量纲公式、雷诺相似、自模化和压力系数 Cp/Eu 定义；冷门变量仍需逐项列量纲。",主题命中“量纲分析/相似准则”，v80 基础过程覆盖约 86%。,8.6,10.0,86.0,中高,
Q0140,课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_完整解答版.tex,第5章理想流体_原题练习汇总_完整解答版.tex,未编号,"轴对称均匀流的流函数为 \Psi_U=\frac12U_\infty r^2. 位于 \(z=\xi\) 处的点源对点 \((z,r)\) 的流函数可取 \Psi_q=\frac{q}{4\pi} \left(1-\frac{z-\xi}{\sqrt{r^2+(z-\xi)^2}}\right). 因此总流函数为 \Psi=\frac12U_\infty r^2 +\frac{Q}{4\pi}\left(1-\frac{z}{R_0}\right) -\frac{Q}{4\pi a}\int_0^a \left(1-\frac{z-\xi}{\sqrt{r^2+(z-\xi)^2}}\right)\dd\xi, R_0=\sqrt{r^2+z^2},\qquad R_a=\sqrt{r^2+(z-a)^2}. 积分部分为 \int_0^a \left(1-\frac{z-\xi}{\sqrt{r^2+(z-\xi)^2}}\right)\dd\xi =a-R_0+R_a . \boxed{ \Psi=\frac12U_\infty r^2 +\frac{Q}{4\pi}\left(1-\frac{z}{R_0}\right) -\frac{Q}{4\pi a}(a-R_0+R_a)+C.} 驻点由 v_z=0,\qquad v_r=0 求得。过驻点的流线就是 \boxed{\Psi=\Psi_{\text{驻点}}.} 题目要求令过驻点流函数为零，即选取常数 \(C\) 使 \(\Psi_{\text{驻点}}=0\)，最后写成 \boxed{\Psi=0.}",量纲分析/相似准则,P1 > 量纲分析模板；M25 > 量纲相似+推导骨架；M4 > 流程H；M6 > 标准解模板：相似；M13 > 模型律；M26 > 管路/模型,P1,列变量和基本量纲；选量纲独立且不含待求量的重复变量；逐个令 pi=X rho^a V^b L^c 求指数；最后用 M26 的 F~rho V^2 L^2、Delta p~rho V^2、Fr/Re 缩尺速度比做换算。,1. 先按题干关键词选模型；2. 在 v80 对应页写首个控制方程/公式；3. 把题给几何、单位和边界条件代入；4. 做代数求解或列出需要查图查表的位置；5. 检查单位、方向、绝压/表压或适用条件。,"若变量很冷门或需完整实验相似设计，仍需教材解释；v80 补了常见模型力、压强和速度比例换算。 v80 已补 Buckingham pi 五步流程和 Re/Fr/Ma/We/Eu 判据表；复杂多变量推导仍需手算。 v80 已补模型换算库 Q,t,f,F,Delta p,M,P 和 Re/Fr 冲突答题句；复杂 pi 群仍需手算。 v80 保留量纲齐次/Rayleigh 指数配平、完全/部分相似及 Re/Fr 冲突说明、关键词到 π 群的定位入口、球阻力 CD=f(Re) 标准推导，并补量纲公式、雷诺相似、自模化和压力系数 Cp/Eu 定义；冷门变量仍需逐项列量纲。",主题命中“量纲分析/相似准则”，v80 基础过程覆盖约 86%。；题目要求推导或定义积分；v80 有 M24/M25/M26 骨架，但完整推导仍扣少量严谨性分。,7.8,10.0,78.0,中高,
Q0141,课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_完整解答版.tex,第5章理想流体_原题练习汇总_完整解答版.tex,未编号,\subsection*{5.8 证明给定轴对称流函数形式并求 \(c\)},势流/圆柱/镜像/升力,P2 > 基本流表；P2 > 圆柱绕流；Q3 > 势流题库速解；T2/T3 > 原题压缩收录；R6 > 结论句,P2,先搭基元叠加或圆柱绕流模型；求速度场和 Cp；再用 Bernoulli 求压力，沿边界积分力；环量题写 Kutta-Joukowski 升力。,1. 写 phi/psi 或基元叠加；2. 求速度分量；3. 用 Bernoulli 得压力或 Cp；4. 沿边界积分压力分量；5. 说明理想势流假设和单位展长。,半圆柱/开孔/镜像图的几何积分限仍要读图；真实阻力不能用理想势流满分解释。 v80 保留薄板小攻角环量估计和 Kutta 升力收口；复杂构形仍需正确选镜像/基元。,主题命中“势流/圆柱/镜像/升力”，v80 基础过程覆盖约 82%。；题目要求推导或定义积分；v80 有 M24/M25/M26 骨架，但完整推导仍扣少量严谨性分。,7.4,10.0,74.0,中,
