source,line,kind,title,tokens,hit_count,hits,covered
v106,517,\\sect\{([^{}]+)\},位移/动量厚度/Von Karman,位移|动量厚度|Von|Karman,4,位移|动量厚度|Von|Karman,True
v106,522,\\sect\{([^{}]+)\},常见剖面直接用,常见剖面直接用,1,常见剖面直接用,True
v106,525,\\sect\{([^{}]+)\},平板层流边界层油流,平板层流边界层油流,1,平板层流边界层油流,True
v106,528,\\sect\{([^{}]+)\},平板题统一流程,平板题统一流程,1,平板题统一流程,True
v106,531,\\sect\{([^{}]+)\},湍流近壁三层,湍流近壁三层,1,湍流近壁三层,True
v106,533,\\sect\{([^{}]+)\},壁律题写法,壁律题写法,1,壁律题写法,True
v106,536,\\sect\{([^{}]+)\},分离与阻力,分离与阻力,1,分离与阻力,True
v106,538,\\sect\{([^{}]+)\},外绕流阻力判断,外绕流阻力判断,1,外绕流阻力判断,True
v106,541,\\sect\{([^{}]+)\},高频收口模型,高频收口模型,1,高频收口模型,True
v106,553,\\sect\{([^{}]+)\},过程分最小骨架,过程分最小骨架,1,过程分最小骨架,True
v106,555,\\sect\{([^{}]+)\},Von Karman边界层积分模板,Von|Karman边界层积分模板,2,Von|Karman边界层积分模板,True
v106,557,\\sect\{([^{}]+)\},阻力系数换算,阻力系数换算,1,阻力系数换算,True
v106,559,\\sect\{([^{}]+)\},边界层题检查,边界层题检查,1,边界层题检查,True
v106,561,\\sect\{([^{}]+)\},交卷前检查,交卷前检查,1,交卷前检查,True
v106,563,\\sect\{([^{}]+)\},外流阻力典型量,外流阻力典型量,1,外流阻力典型量,True
v106,565,\\sect\{([^{}]+)\},边界层分离答题句,边界层分离答题句,1,边界层分离答题句,True
v106,567,\\sect\{([^{}]+)\},公式许可检查,公式许可检查,1,公式许可检查,True
v106,569,\\sect\{([^{}]+)\},查书优先级,查书优先级,1,查书优先级,True
v106,572,\\sect\{([^{}]+)\},静力学、运动学、张量模型速解,静力学|运动学|张量模型速解,3,静力学|运动学|张量模型速解,True
v106,573,\\sect\{([^{}]+)\},压强单位换算,压强单位换算,1,压强单位换算,True
v106,575,\\sect\{([^{}]+)\},平面闸门答题骨架,平面闸门答题骨架,1,平面闸门答题骨架,True
v106,577,\\sect\{([^{}]+)\},曲面闸门答题骨架,曲面闸门答题骨架,1,曲面闸门答题骨架,True
v106,579,\\sect\{([^{}]+)\},相对平衡,相对平衡,1,相对平衡,True
v106,581,\\sect\{([^{}]+)\},浮力和稳定,浮力和稳定,1,浮力和稳定,True
v106,583,\\sect\{([^{}]+)\},迹线/流线/脉线,迹线|流线|脉线,3,迹线|流线|脉线,True
v106,585,\\sect\{([^{}]+)\},加速度题模板,加速度题模板,1,加速度题模板,True
v106,587,\\sect\{([^{}]+)\},应力张量标准解,应力张量标准解,1,应力张量标准解,True
v106,589,\\sect\{([^{}]+)\},应力对称原因,应力对称原因,1,应力对称原因,True
v106,591,\\sect\{([^{}]+)\},流体微团运动分解,流体微团运动分解,1,流体微团运动分解,True
v106,593,\\sect\{([^{}]+)\},维数分析常用组合,维数分析常用组合,1,维数分析常用组合,True
v106,596,\\sect\{([^{}]+)\},伯努利、动量、能量方程模型速解,伯努利|动量|能量方程模型速解,3,伯努利|动量|能量方程模型速解,True
v106,597,\\sect\{([^{}]+)\},伯努利适用性,伯努利适用性,1,伯努利适用性,True
v106,599,\\sect\{([^{}]+)\},皮托管/文丘里/孔板,皮托管|文丘里|孔板,3,皮托管|文丘里|孔板,True
v106,601,\\sect\{([^{}]+)\},虹吸管,虹吸管,1,虹吸管,True
v106,603,\\sect\{([^{}]+)\},弯管受力,弯管受力,1,弯管受力,True
v106,605,\\sect\{([^{}]+)\},射流冲击平板,射流冲击平板,1,射流冲击平板,True
v106,607,\\sect\{([^{}]+)\},喷嘴/消防水枪反力,喷嘴|消防水枪反力,2,喷嘴|消防水枪反力,True
v106,609,\\sect\{([^{}]+)\},水轮机/泵符号,水轮机|泵符号,2,水轮机|泵符号,True
v106,611,\\sect\{([^{}]+)\},大水池到大水池,大水池到大水池,1,大水池到大水池,True
v106,613,\\sect\{([^{}]+)\},压力表截面,压力表截面,1,压力表截面,True
v106,616,\\sect\{([^{}]+)\},势流与理想不可压模型速解,势流与理想不可压模型速解,1,势流与理想不可压模型速解,True
v106,617,\\sect\{([^{}]+)\},势函数流函数互求,势函数流函数互求,1,势函数流函数互求,True
v106,619,\\sect\{([^{}]+)\},极坐标速度关系,极坐标速度关系,1,极坐标速度关系,True
v106,621,\\sect\{([^{}]+)\},基本流全表,基本流全表,1,基本流全表,True
v106,623,\\sect\{([^{}]+)\},叠加题总流程,叠加题总流程,1,叠加题总流程,True
v106,625,\\sect\{([^{}]+)\},半圆柱/半体绕流,半圆柱|半体绕流,2,半圆柱|半体绕流,True
v106,627,\\sect\{([^{}]+)\},镜像法常见组合,镜像法常见组合,1,镜像法常见组合,True
v106,629,\\sect\{([^{}]+)\},圆柱绕流推导,圆柱绕流推导,1,圆柱绕流推导,True
v106,631,\\sect\{([^{}]+)\},圆柱压力和阻力,圆柱压力和阻力,1,圆柱压力和阻力,True
v106,633,\\sect\{([^{}]+)\},有环量圆柱/机翼,有环量圆柱|机翼,2,有环量圆柱|机翼,True
v106,635,\\sect\{([^{}]+)\},边角绕流,边角绕流,1,边角绕流,True
v106,637,\\sect\{([^{}]+)\},势流压力题,势流压力题,1,势流压力题,True
v106,640,\\sect\{([^{}]+)\},可压缩、喷管、激波模型速解,可压缩|喷管|激波模型速解,3,可压缩|喷管|激波模型速解,True
v106,641,\\sect\{([^{}]+)\},弹性模量/声速,弹性模量|声速,2,弹性模量|声速,True
v106,643,\\sect\{([^{}]+)\},飞机声音/马赫锥,飞机声音|马赫锥,2,飞机声音|马赫锥,True
v106,645,\\sect\{([^{}]+)\},滞止量题,滞止量题,1,滞止量题,True
v106,647,\\sect\{([^{}]+)\},收缩喷管背压型,收缩喷管背压型,1,收缩喷管背压型,True
v106,649,\\sect\{([^{}]+)\},Laval面积比型,Laval面积比型,1,Laval面积比型,True
v106,651,\\sect\{([^{}]+)\},可压文丘里流量计型,可压文丘里流量计型,1,可压文丘里流量计型,True
v106,653,\\sect\{([^{}]+)\},正激波关系型,正激波关系型,1,正激波关系型,True
v106,655,\\sect\{([^{}]+)\},斜激波/脱体激波型,斜激波|脱体激波型,2,斜激波|脱体激波型,True
v106,657,\\sect\{([^{}]+)\},PM膨胀/管外膨胀型,PM膨胀|管外膨胀型,2,PM膨胀|管外膨胀型,True
v106,659,\\sect\{([^{}]+)\},Laval管内正激波型,Laval管内正激波型,1,Laval管内正激波型,True
v106,661,\\sect\{([^{}]+)\},Laval背压图文字版,Laval背压图文字版,1,Laval背压图文字版,True
v106,663,\\sect\{([^{}]+)\},激波/膨胀选择,激波|膨胀选择,2,激波|膨胀选择,True
v106,666,\\sect\{([^{}]+)\},粘性流动、管流、边界层模型速解,粘性流动|管流|边界层模型速解,3,粘性流动|管流|边界层模型速解,True
v106,667,\\sect\{([^{}]+)\},N--S简化四句话,S简化四句话,1,S简化四句话,True
v106,669,\\sect\{([^{}]+)\},平板间层流,平板间层流,1,平板间层流,True
v106,671,\\sect\{([^{}]+)\},两层Couette型,两层Couette型,1,两层Couette型,True
v106,673,\\sect\{([^{}]+)\},倾斜平板流程,倾斜平板流程,1,倾斜平板流程,True
v106,675,\\sect\{([^{}]+)\},圆管H--P,圆管H,1,圆管H,True
v106,677,\\sect\{([^{}]+)\},管道湍流壁律,管道湍流壁律,1,管道湍流壁律,True
v106,679,\\sect\{([^{}]+)\},管内边界层厚度题,管内边界层厚度题,1,管内边界层厚度题,True
v106,681,\\sect\{([^{}]+)\},管路损失综合题,管路损失综合题,1,管路损失综合题,True
v106,683,\\sect\{([^{}]+)\},粗糙度使用,粗糙度使用,1,粗糙度使用,True
v106,685,\\sect\{([^{}]+)\},泵安装高度,泵安装高度,1,泵安装高度,True
v106,687,\\sect\{([^{}]+)\},水轮机功率,水轮机功率,1,水轮机功率,True
v106,689,\\sect\{([^{}]+)\},平板边界层/Blasius,平板边界层|Blasius,2,平板边界层|Blasius,True
v106,691,\\sect\{([^{}]+)\},湍流/转捩平板,湍流|转捩平板,2,湍流|转捩平板,True
v106,693,\\sect\{([^{}]+)\},平板外绕阻力型,平板外绕阻力型,1,平板外绕阻力型,True
v106,695,\\sect\{([^{}]+)\},边界层动量积分,边界层动量积分,1,边界层动量积分,True
v106,697,\\sect\{([^{}]+)\},分离/绕流阻力,分离|绕流阻力,2,分离|绕流阻力,True
v106,699,\\sect\{([^{}]+)\},Stokes小球,Stokes小球,1,Stokes小球,True
v106,702,\\sect\{([^{}]+)\},通用题干关键词套写索引,通用题干关键词套写索引,1,通用题干关键词套写索引,True
v106,703,\\sect\{([^{}]+)\},静水压/伯努利/动量,静水压|伯努利|动量,3,静水压|伯努利|动量,True
v106,705,\\sect\{([^{}]+)\},势函数/流函数/圆柱/镜像/机翼,势函数|流函数|圆柱|镜像|机翼,5,势函数|流函数|圆柱|镜像|机翼,True
v106,707,\\sect\{([^{}]+)\},速度场/连续/有旋/无旋/剪切板,速度场|连续|有旋|无旋|剪切板,5,速度场|连续|有旋|无旋|剪切板,True
v106,709,\\sect\{([^{}]+)\},喷管/背压/阻塞/质量流量,喷管|背压|阻塞|质量流量,4,喷管|背压|阻塞|质量流量,True
v106,711,\\sect\{([^{}]+)\},激波/斜激波/膨胀波/超声速转角,激波|斜激波|膨胀波|超声速转角,4,激波|斜激波|膨胀波|超声速转角,True
v106,713,\\sect\{([^{}]+)\},N-S简化/H-P/Couette/两层流体/Stokes,S简化|Couette|两层流体|Stokes,4,S简化|Couette|两层流体|Stokes,True
v106,715,\\sect\{([^{}]+)\},边界层/壁律/泵吸水/水轮机,边界层|壁律|泵吸水|水轮机,4,边界层|壁律|泵吸水|水轮机,True
v106,717,\\sect\{([^{}]+)\},平板边界层/摩擦阻力/分离,平板边界层|摩擦阻力|分离,3,平板边界层|摩擦阻力|分离,True
v106,719,\\sect\{([^{}]+)\},表值未算出时,表值未算出时,1,表值未算出时,True
v106,721,\\sect\{([^{}]+)\},标准卷面模板,标准卷面模板,1,标准卷面模板,True
v106,724,\\sect\{([^{}]+)\},通用数值题公式链骨架,通用数值题公式链骨架,1,通用数值题公式链骨架,True
v106,725,\\sect\{([^{}]+)\},压缩性/弹性模量,压缩性|弹性模量,2,压缩性|弹性模量,True
v106,727,\\sect\{([^{}]+)\},马赫锥/扰动传播,马赫锥|扰动传播,2,马赫锥|扰动传播,True
v106,729,\\sect\{([^{}]+)\},Laval出口外膨胀,Laval出口外膨胀,1,Laval出口外膨胀,True
v106,731,\\sect\{([^{}]+)\},管内湍流壁律厚度,管内湍流壁律厚度,1,管内湍流壁律厚度,True
v106,733,\\sect\{([^{}]+)\},泵吸水安装高度/汽蚀,泵吸水安装高度|汽蚀,2,泵吸水安装高度|汽蚀,True
v106,735,\\sect\{([^{}]+)\},水轮机/泵管路功率,水轮机|泵管路功率,2,水轮机|泵管路功率,True
v106,737,\\sect\{([^{}]+)\},平板边界层阻力,平板边界层阻力,1,平板边界层阻力,True
v106,739,\\sect\{([^{}]+)\},应力张量指定平面,应力张量指定平面,1,应力张量指定平面,True
v106,741,\\sect\{([^{}]+)\},圆柱/物面压力积分,圆柱|物面压力积分,2,圆柱|物面压力积分,True
v106,744,\\sect\{([^{}]+)\},教材可查表项目和速查表衔接,教材可查表项目和速查表衔接,1,教材可查表项目和速查表衔接,True
v106,745,\\sect\{([^{}]+)\},Moody图怎么用,Moody图怎么用,1,Moody图怎么用,True
v106,747,\\sect\{([^{}]+)\},面积--马赫数表怎么用,面积|马赫数表怎么用,2,面积|马赫数表怎么用,True
v106,749,\\sect\{([^{}]+)\},正激波表怎么用,正激波表怎么用,1,正激波表怎么用,True
v106,751,\\sect\{([^{}]+)\},斜激波表怎么用,斜激波表怎么用,1,斜激波表怎么用,True
v106,753,\\sect\{([^{}]+)\},PM函数表怎么用,PM函数表怎么用,1,PM函数表怎么用,True
v106,755,\\sect\{([^{}]+)\},阻力系数图怎么用,阻力系数图怎么用,1,阻力系数图怎么用,True
v106,758,\\sect\{([^{}]+)\},高风险易混概念对照,高风险易混概念对照,1,高风险易混概念对照,True
v106,759,\\sect\{([^{}]+)\},"$p_0,p^*,p_e,p_b$",,0,,False
v106,761,\\sect\{([^{}]+)\},喉部、临界、阻塞,喉部|临界|阻塞,3,喉部|临界|阻塞,True
v106,763,\\sect\{([^{}]+)\},亚声速/超声速面积效应,亚声速|超声速面积效应,2,亚声速|超声速面积效应,True
v106,765,\\sect\{([^{}]+)\},激波和膨胀波,激波和膨胀波,1,激波和膨胀波,True
v106,767,\\sect\{([^{}]+)\},层流/湍流/边界层,层流|湍流|边界层,3,层流|湍流|边界层,True
v106,769,\\sect\{([^{}]+)\},平均速度/最大速度/摩擦速度,平均速度|最大速度|摩擦速度,3,平均速度|最大速度|摩擦速度,True
v106,771,\\sect\{([^{}]+)\},表面积/迎风面积/截面积,表面积|迎风面积|截面积,3,表面积|迎风面积|截面积,True
v106,773,\\sect\{([^{}]+)\},局部损失/沿程损失,局部损失|沿程损失,2,局部损失|沿程损失,True
v106,775,\\sect\{([^{}]+)\},绝压/表压,绝压|表压,2,绝压|表压,True
v106,778,\\sect\{([^{}]+)\},按题干关键词选公式,按题干关键词选公式,1,按题干关键词选公式,True
v106,779,\\sect\{([^{}]+)\},“不可压无旋”,“不可压无旋”,1,“不可压无旋”,True
v106,781,\\sect\{([^{}]+)\},“定常一维绝热”,“定常一维绝热”,1,“定常一维绝热”,True
v106,783,\\sect\{([^{}]+)\},“平均时均速度”,“平均时均速度”,1,“平均时均速度”,True
v106,785,\\sect\{([^{}]+)\},“小球Re<1”,“小球Re<,1,“小球Re<,True
v106,787,\\sect\{([^{}]+)\},“完全发展”,“完全发展”,1,“完全发展”,True
v106,789,\\sect\{([^{}]+)\},“无压差Couette”,“无压差Couette”,1,“无压差Couette”,True
v106,791,\\sect\{([^{}]+)\},“逆压梯度”,“逆压梯度”,1,“逆压梯度”,True
v106,793,\\sect\{([^{}]+)\},“背压降低”,“背压降低”,1,“背压降低”,True
v106,795,\\sect\{([^{}]+)\},“压力中心/形心”,“压力中心|形心”,2,“压力中心|形心”,True
v106,798,\\sect\{([^{}]+)\},计算细节防错,计算细节防错,1,计算细节防错,True
v106,799,\\sect\{([^{}]+)\},单位统一,单位统一,1,单位统一,True
v106,801,\\sect\{([^{}]+)\},截面积,截面积,1,截面积,True
v106,803,\\sect\{([^{}]+)\},水头与压力,水头与压力,1,水头与压力,True
v106,805,\\sect\{([^{}]+)\},查表/异常回退,查表|异常回退,2,查表|异常回退,True
v106,807,\\sect\{([^{}]+)\},答案量纲检查,答案量纲检查,1,答案量纲检查,True
v106,809,\\sect\{([^{}]+)\},方向检查,方向检查,1,方向检查,True
v106,811,\\sect\{([^{}]+)\},结果合理性,结果合理性,1,结果合理性,True
v106,814,\\sect\{([^{}]+)\},可直接写的结论句,可直接写的结论句,1,可直接写的结论句,True
v106,815,\\sect\{([^{}]+)\},势流结论句,势流结论句,1,势流结论句,True
v106,817,\\sect\{([^{}]+)\},达朗贝尔佯谬句,达朗贝尔佯谬句,1,达朗贝尔佯谬句,True
v106,819,\\sect\{([^{}]+)\},边界层句,边界层句,1,边界层句,True
v106,821,\\sect\{([^{}]+)\},管流损失句,管流损失句,1,管流损失句,True
v106,823,\\sect\{([^{}]+)\},激波句,激波句,1,激波句,True
v106,825,\\sect\{([^{}]+)\},膨胀波句,膨胀波句,1,膨胀波句,True
v106,827,\\sect\{([^{}]+)\},阻塞句,阻塞句,1,阻塞句,True
v106,829,\\sect\{([^{}]+)\},湍流句,湍流句,1,湍流句,True
v106,832,\\sect\{([^{}]+)\},题图识别+查表+公式链,题图识别+查表+公式链,1,题图识别+查表+公式链,True
v106,833,\\sect\{([^{}]+)\},题图一眼选模型,题图一眼选模型,1,题图一眼选模型,True
v106,847,\\sect\{([^{}]+)\},小查表：空气等熵/PM,小查表|空气等熵|PM,3,小查表|空气等熵|PM,True
v106,858,\\sect\{([^{}]+)\},小查表：正激波/光滑管,小查表|正激波|光滑管,3,小查表|正激波|光滑管,True
v106,861,\\sect\{([^{}]+)\},量纲相似满分模板,量纲相似满分模板,1,量纲相似满分模板,True
v106,866,\\sect\{([^{}]+)\},公式链：已知-中间量-目标量,公式链|已知|中间量|目标量,4,公式链|已知|中间量|目标量,True
v106,869,\\sect\{([^{}]+)\},按图像补充的模型第一步,按图像补充的模型第一步,1,按图像补充的模型第一步,True
v106,870,\\sect\{([^{}]+)\},玻璃弯管放水,玻璃弯管放水,1,玻璃弯管放水,True
v106,872,\\sect\{([^{}]+)\},半圆柱/圆柱浮起,半圆柱|圆柱浮起,2,半圆柱|圆柱浮起,True
v106,874,\\sect\{([^{}]+)\},点源靠壁最大速度,点源靠壁最大速度,1,点源靠壁最大速度,True
