"Source","Line","Status","Title","Tokens"
"期末六页A4速查表_v106_严格母题子题六页版.tex","436","likely-covered","过程分标准句","过程分标准句"
"期末六页A4速查表_v106_严格母题子题六页版.tex","438","likely-covered","正激波常用极限","正激波常用极限"
"期末六页A4速查表_v106_严格母题子题六页版.tex","440","likely-covered","斜激波压力比","斜激波压力比"
"期末六页A4速查表_v106_严格母题子题六页版.tex","442","likely-covered","膨胀波常见题","膨胀波常见题"
"期末六页A4速查表_v106_严格母题子题六页版.tex","444","likely-covered","管外膨胀简答句","管外膨胀简答句"
"期末六页A4速查表_v106_严格母题子题六页版.tex","447","likely-covered","母题5 粘性管流：N-S、H-P、Couette、管内压损","母题5|粘性管流|N-S|H-P"
"期末六页A4速查表_v106_严格母题子题六页版.tex","449","likely-covered","N-S 简化","N-S|简化"
"期末六页A4速查表_v106_严格母题子题六页版.tex","453","likely-covered","H-P 圆管层流","H-P|圆管层流"
"期末六页A4速查表_v106_严格母题子题六页版.tex","458","likely-covered","广义压强写法","广义压强写法"
"期末六页A4速查表_v106_严格母题子题六页版.tex","461","likely-covered","Couette 流","Couette"
"期末六页A4速查表_v106_严格母题子题六页版.tex","466","likely-covered","双层 Couette","双层|Couette"
"期末六页A4速查表_v106_严格母题子题六页版.tex","470","likely-covered","管路损失/管内压损","管路损失|管内压损"
"期末六页A4速查表_v106_严格母题子题六页版.tex","477","likely-covered","管路题统一流程","管路题统一流程"
"期末六页A4速查表_v106_严格母题子题六页版.tex","480","likely-covered","常见模型模板","常见模型模板"
"期末六页A4速查表_v106_严格母题子题六页版.tex","491","likely-covered","平板Poiseuille","平板Poiseuille"
"期末六页A4速查表_v106_严格母题子题六页版.tex","493","likely-covered","Couette--Poiseuille合成","Couette--Poiseuille合成"
"期末六页A4速查表_v106_严格母题子题六页版.tex","495","likely-covered","层流/湍流判定","层流|湍流判定"
"期末六页A4速查表_v106_严格母题子题六页版.tex","497","likely-covered","压力降与剪力平衡","压力降与剪力平衡"
"期末六页A4速查表_v106_严格母题子题六页版.tex","499","likely-covered","管内层流竖直流","管内层流竖直流"
"期末六页A4速查表_v106_严格母题子题六页版.tex","501","likely-covered","层流解析题通用套路","层流解析题通用套路"
"期末六页A4速查表_v106_严格母题子题六页版.tex","503","likely-covered","泵/汽蚀判断","汽蚀判断"
"期末六页A4速查表_v106_严格母题子题六页版.tex","505","likely-covered","局部损失系数","局部损失系数"
"期末六页A4速查表_v106_严格母题子题六页版.tex","508","likely-covered","母题6 边界层、外绕流阻力、综合收口","母题6|边界层|外绕流阻力|综合收口"
"期末六页A4速查表_v106_严格母题子题六页版.tex","510","likely-covered","Prandtl 边界层/Blasius","Prandtl|边界层|Blasius"
"期末六页A4速查表_v106_严格母题子题六页版.tex","517","likely-covered","位移/动量厚度/Von Karman","位移|动量厚度|Von|Karman"
"期末六页A4速查表_v106_严格母题子题六页版.tex","522","likely-covered","常见剖面直接用","常见剖面直接用"
"期末六页A4速查表_v106_严格母题子题六页版.tex","525","likely-covered","平板层流边界层油流","平板层流边界层油流"
"期末六页A4速查表_v106_严格母题子题六页版.tex","528","likely-covered","平板题统一流程","平板题统一流程"
"期末六页A4速查表_v106_严格母题子题六页版.tex","531","likely-covered","湍流近壁三层","湍流近壁三层"
"期末六页A4速查表_v106_严格母题子题六页版.tex","533","likely-covered","壁律题写法","壁律题写法"
"期末六页A4速查表_v106_严格母题子题六页版.tex","536","likely-covered","分离与阻力","分离与阻力"
"期末六页A4速查表_v106_严格母题子题六页版.tex","538","likely-covered","外绕流阻力判断","外绕流阻力判断"
"期末六页A4速查表_v106_严格母题子题六页版.tex","541","likely-covered","高频收口模型","高频收口模型"
"期末六页A4速查表_v106_严格母题子题六页版.tex","553","likely-covered","过程分最小骨架","过程分最小骨架"
"期末六页A4速查表_v106_严格母题子题六页版.tex","555","likely-covered","Von Karman边界层积分模板","Von|Karman边界层积分模板"
"期末六页A4速查表_v106_严格母题子题六页版.tex","557","likely-covered","阻力系数换算","阻力系数换算"
"期末六页A4速查表_v106_严格母题子题六页版.tex","559","likely-covered","边界层题检查","边界层题检查"
"期末六页A4速查表_v106_严格母题子题六页版.tex","561","likely-covered","交卷前检查","交卷前检查"
"期末六页A4速查表_v106_严格母题子题六页版.tex","563","likely-covered","外流阻力典型量","外流阻力典型量"
"期末六页A4速查表_v106_严格母题子题六页版.tex","565","likely-covered","边界层分离答题句","边界层分离答题句"
"期末六页A4速查表_v106_严格母题子题六页版.tex","567","likely-covered","公式许可检查","公式许可检查"
"期末六页A4速查表_v106_严格母题子题六页版.tex","569","likely-covered","查书优先级","查书优先级"
"期末六页A4速查表_v106_严格母题子题六页版.tex","572","likely-covered","静力学、运动学、张量模型速解","静力学|运动学|张量模型速解"
"期末六页A4速查表_v106_严格母题子题六页版.tex","573","likely-covered","压强单位换算","压强单位换算"
"期末六页A4速查表_v106_严格母题子题六页版.tex","575","likely-covered","平面闸门答题骨架","平面闸门答题骨架"
"期末六页A4速查表_v106_严格母题子题六页版.tex","577","likely-covered","曲面闸门答题骨架","曲面闸门答题骨架"
"期末六页A4速查表_v106_严格母题子题六页版.tex","579","likely-covered","相对平衡","相对平衡"
"期末六页A4速查表_v106_严格母题子题六页版.tex","581","likely-covered","浮力和稳定","浮力和稳定"
"期末六页A4速查表_v106_严格母题子题六页版.tex","583","likely-covered","迹线/流线/脉线","迹线|流线|脉线"
"期末六页A4速查表_v106_严格母题子题六页版.tex","585","likely-covered","加速度题模板","加速度题模板"
"期末六页A4速查表_v106_严格母题子题六页版.tex","587","likely-covered","应力张量标准解","应力张量标准解"
"期末六页A4速查表_v106_严格母题子题六页版.tex","589","likely-covered","应力对称原因","应力对称原因"
"期末六页A4速查表_v106_严格母题子题六页版.tex","591","likely-covered","流体微团运动分解","流体微团运动分解"
"期末六页A4速查表_v106_严格母题子题六页版.tex","593","likely-covered","维数分析常用组合","维数分析常用组合"
"期末六页A4速查表_v106_严格母题子题六页版.tex","596","likely-covered","伯努利、动量、能量方程模型速解","伯努利|动量|能量方程模型速解"
"期末六页A4速查表_v106_严格母题子题六页版.tex","597","likely-covered","伯努利适用性","伯努利适用性"
"期末六页A4速查表_v106_严格母题子题六页版.tex","599","likely-covered","皮托管/文丘里/孔板","皮托管|文丘里|孔板"
"期末六页A4速查表_v106_严格母题子题六页版.tex","601","likely-covered","虹吸管","虹吸管"
"期末六页A4速查表_v106_严格母题子题六页版.tex","603","likely-covered","弯管受力","弯管受力"
"期末六页A4速查表_v106_严格母题子题六页版.tex","605","likely-covered","射流冲击平板","射流冲击平板"
"期末六页A4速查表_v106_严格母题子题六页版.tex","607","likely-covered","喷嘴/消防水枪反力","喷嘴|消防水枪反力"
"期末六页A4速查表_v106_严格母题子题六页版.tex","609","likely-covered","水轮机/泵符号","水轮机|泵符号"
"期末六页A4速查表_v106_严格母题子题六页版.tex","611","likely-covered","大水池到大水池","大水池到大水池"
"期末六页A4速查表_v106_严格母题子题六页版.tex","613","likely-covered","压力表截面","压力表截面"
"期末六页A4速查表_v106_严格母题子题六页版.tex","616","likely-covered","势流与理想不可压模型速解","势流与理想不可压模型速解"
"期末六页A4速查表_v106_严格母题子题六页版.tex","617","likely-covered","势函数流函数互求","势函数流函数互求"
"期末六页A4速查表_v106_严格母题子题六页版.tex","619","likely-covered","极坐标速度关系","极坐标速度关系"
"期末六页A4速查表_v106_严格母题子题六页版.tex","621","likely-covered","基本流全表","基本流全表"
"期末六页A4速查表_v106_严格母题子题六页版.tex","623","likely-covered","叠加题总流程","叠加题总流程"
"期末六页A4速查表_v106_严格母题子题六页版.tex","625","likely-covered","半圆柱/半体绕流","半圆柱|半体绕流"
"期末六页A4速查表_v106_严格母题子题六页版.tex","627","likely-covered","镜像法常见组合","镜像法常见组合"
"期末六页A4速查表_v106_严格母题子题六页版.tex","629","likely-covered","圆柱绕流推导","圆柱绕流推导"
"期末六页A4速查表_v106_严格母题子题六页版.tex","631","likely-covered","圆柱压力和阻力","圆柱压力和阻力"
"期末六页A4速查表_v106_严格母题子题六页版.tex","633","likely-covered","有环量圆柱/机翼","有环量圆柱|机翼"
"期末六页A4速查表_v106_严格母题子题六页版.tex","635","likely-covered","边角绕流","边角绕流"
"期末六页A4速查表_v106_严格母题子题六页版.tex","637","likely-covered","势流压力题","势流压力题"
"期末六页A4速查表_v106_严格母题子题六页版.tex","640","likely-covered","可压缩、喷管、激波模型速解","可压缩|喷管|激波模型速解"
"期末六页A4速查表_v106_严格母题子题六页版.tex","641","likely-covered","弹性模量/声速","弹性模量|声速"
"期末六页A4速查表_v106_严格母题子题六页版.tex","643","likely-covered","飞机声音/马赫锥","飞机声音|马赫锥"
"期末六页A4速查表_v106_严格母题子题六页版.tex","645","likely-covered","滞止量题","滞止量题"
"期末六页A4速查表_v106_严格母题子题六页版.tex","647","likely-covered","收缩喷管背压型","收缩喷管背压型"
"期末六页A4速查表_v106_严格母题子题六页版.tex","649","likely-covered","Laval面积比型","Laval面积比型"
"期末六页A4速查表_v106_严格母题子题六页版.tex","651","likely-covered","可压文丘里流量计型","可压文丘里流量计型"
"期末六页A4速查表_v106_严格母题子题六页版.tex","653","likely-covered","正激波关系型","正激波关系型"
"期末六页A4速查表_v106_严格母题子题六页版.tex","655","likely-covered","斜激波/脱体激波型","斜激波|脱体激波型"
"期末六页A4速查表_v106_严格母题子题六页版.tex","657","likely-covered","PM膨胀/管外膨胀型","PM膨胀|管外膨胀型"
"期末六页A4速查表_v106_严格母题子题六页版.tex","659","likely-covered","Laval管内正激波型","Laval管内正激波型"
"期末六页A4速查表_v106_严格母题子题六页版.tex","661","likely-covered","Laval背压图文字版","Laval背压图文字版"
"期末六页A4速查表_v106_严格母题子题六页版.tex","663","likely-covered","激波/膨胀选择","激波|膨胀选择"
"期末六页A4速查表_v106_严格母题子题六页版.tex","666","likely-covered","粘性流动、管流、边界层模型速解","粘性流动|管流|边界层模型速解"
"期末六页A4速查表_v106_严格母题子题六页版.tex","667","likely-covered","N--S简化四句话","N--S简化四句话"
"期末六页A4速查表_v106_严格母题子题六页版.tex","669","likely-covered","平板间层流","平板间层流"
"期末六页A4速查表_v106_严格母题子题六页版.tex","671","likely-covered","两层Couette型","两层Couette型"
"期末六页A4速查表_v106_严格母题子题六页版.tex","673","likely-covered","倾斜平板流程","倾斜平板流程"
"期末六页A4速查表_v106_严格母题子题六页版.tex","675","likely-covered","圆管H--P","圆管H--P"
"期末六页A4速查表_v106_严格母题子题六页版.tex","677","likely-covered","管道湍流壁律","管道湍流壁律"
"期末六页A4速查表_v106_严格母题子题六页版.tex","679","likely-covered","管内边界层厚度题","管内边界层厚度题"
"期末六页A4速查表_v106_严格母题子题六页版.tex","681","likely-covered","管路损失综合题","管路损失综合题"
"期末六页A4速查表_v106_严格母题子题六页版.tex","683","likely-covered","粗糙度使用","粗糙度使用"
"期末六页A4速查表_v106_严格母题子题六页版.tex","685","likely-covered","泵安装高度","泵安装高度"
"期末六页A4速查表_v106_严格母题子题六页版.tex","687","likely-covered","水轮机功率","水轮机功率"
"期末六页A4速查表_v106_严格母题子题六页版.tex","689","likely-covered","平板边界层/Blasius","平板边界层|Blasius"
"期末六页A4速查表_v106_严格母题子题六页版.tex","691","likely-covered","湍流/转捩平板","湍流|转捩平板"
"期末六页A4速查表_v106_严格母题子题六页版.tex","693","likely-covered","平板外绕阻力型","平板外绕阻力型"
"期末六页A4速查表_v106_严格母题子题六页版.tex","695","likely-covered","边界层动量积分","边界层动量积分"
"期末六页A4速查表_v106_严格母题子题六页版.tex","697","likely-covered","分离/绕流阻力","分离|绕流阻力"
"期末六页A4速查表_v106_严格母题子题六页版.tex","699","likely-covered","Stokes小球","Stokes小球"
"期末六页A4速查表_v106_严格母题子题六页版.tex","702","likely-covered","通用题干关键词套写索引","通用题干关键词套写索引"
"期末六页A4速查表_v106_严格母题子题六页版.tex","703","likely-covered","静水压/伯努利/动量","静水压|伯努利|动量"
"期末六页A4速查表_v106_严格母题子题六页版.tex","705","likely-covered","势函数/流函数/圆柱/镜像/机翼","势函数|流函数|圆柱|镜像"
"期末六页A4速查表_v106_严格母题子题六页版.tex","707","likely-covered","速度场/连续/有旋/无旋/剪切板","速度场|连续|有旋|无旋"
"期末六页A4速查表_v106_严格母题子题六页版.tex","709","likely-covered","喷管/背压/阻塞/质量流量","喷管|背压|阻塞|质量流量"
"期末六页A4速查表_v106_严格母题子题六页版.tex","711","likely-covered","激波/斜激波/膨胀波/超声速转角","激波|斜激波|膨胀波|超声速转角"
"期末六页A4速查表_v106_严格母题子题六页版.tex","713","likely-covered","N-S简化/H-P/Couette/两层流体/Stokes","N-S简化|H-P|Couette|两层流体"
"期末六页A4速查表_v106_严格母题子题六页版.tex","715","likely-covered","边界层/壁律/泵吸水/水轮机","边界层|壁律|泵吸水|水轮机"
"期末六页A4速查表_v106_严格母题子题六页版.tex","717","likely-covered","平板边界层/摩擦阻力/分离","平板边界层|摩擦阻力|分离"
"期末六页A4速查表_v106_严格母题子题六页版.tex","719","likely-covered","表值未算出时","表值未算出时"
"期末六页A4速查表_v106_严格母题子题六页版.tex","721","likely-covered","标准卷面模板","标准卷面模板"
"期末六页A4速查表_v106_严格母题子题六页版.tex","724","likely-covered","通用数值题公式链骨架","通用数值题公式链骨架"
"期末六页A4速查表_v106_严格母题子题六页版.tex","725","likely-covered","压缩性/弹性模量","压缩性|弹性模量"
"期末六页A4速查表_v106_严格母题子题六页版.tex","727","likely-covered","马赫锥/扰动传播","马赫锥|扰动传播"
"期末六页A4速查表_v106_严格母题子题六页版.tex","729","likely-covered","Laval出口外膨胀","Laval出口外膨胀"
"期末六页A4速查表_v106_严格母题子题六页版.tex","731","likely-covered","管内湍流壁律厚度","管内湍流壁律厚度"
"期末六页A4速查表_v106_严格母题子题六页版.tex","733","likely-covered","泵吸水安装高度/汽蚀","泵吸水安装高度|汽蚀"
"期末六页A4速查表_v106_严格母题子题六页版.tex","735","likely-covered","水轮机/泵管路功率","水轮机|泵管路功率"
"期末六页A4速查表_v106_严格母题子题六页版.tex","737","likely-covered","平板边界层阻力","平板边界层阻力"
"期末六页A4速查表_v106_严格母题子题六页版.tex","739","likely-covered","应力张量指定平面","应力张量指定平面"
"期末六页A4速查表_v106_严格母题子题六页版.tex","741","likely-covered","圆柱/物面压力积分","圆柱|物面压力积分"
"期末六页A4速查表_v106_严格母题子题六页版.tex","744","likely-covered","教材可查表项目和速查表衔接","教材可查表项目和速查表衔接"
"期末六页A4速查表_v106_严格母题子题六页版.tex","745","likely-covered","Moody图怎么用","Moody图怎么用"
"期末六页A4速查表_v106_严格母题子题六页版.tex","747","likely-covered","面积--马赫数表怎么用","面积--马赫数表怎么用"
"期末六页A4速查表_v106_严格母题子题六页版.tex","749","likely-covered","正激波表怎么用","正激波表怎么用"
"期末六页A4速查表_v106_严格母题子题六页版.tex","751","likely-covered","斜激波表怎么用","斜激波表怎么用"
"期末六页A4速查表_v106_严格母题子题六页版.tex","753","likely-covered","PM函数表怎么用","PM函数表怎么用"
"期末六页A4速查表_v106_严格母题子题六页版.tex","755","likely-covered","阻力系数图怎么用","阻力系数图怎么用"
"期末六页A4速查表_v106_严格母题子题六页版.tex","758","likely-covered","高风险易混概念对照","高风险易混概念对照"
"期末六页A4速查表_v106_严格母题子题六页版.tex","761","likely-covered","喉部、临界、阻塞","喉部|临界|阻塞"
"期末六页A4速查表_v106_严格母题子题六页版.tex","763","likely-covered","亚声速/超声速面积效应","亚声速|超声速面积效应"
"期末六页A4速查表_v106_严格母题子题六页版.tex","765","likely-covered","激波和膨胀波","激波和膨胀波"
"期末六页A4速查表_v106_严格母题子题六页版.tex","767","likely-covered","层流/湍流/边界层","层流|湍流|边界层"
"期末六页A4速查表_v106_严格母题子题六页版.tex","769","likely-covered","平均速度/最大速度/摩擦速度","平均速度|最大速度|摩擦速度"
"期末六页A4速查表_v106_严格母题子题六页版.tex","771","likely-covered","表面积/迎风面积/截面积","表面积|迎风面积|截面积"
"期末六页A4速查表_v106_严格母题子题六页版.tex","773","likely-covered","局部损失/沿程损失","局部损失|沿程损失"
"期末六页A4速查表_v106_严格母题子题六页版.tex","775","likely-covered","绝压/表压","绝压|表压"
"期末六页A4速查表_v106_严格母题子题六页版.tex","778","likely-covered","按题干关键词选公式","按题干关键词选公式"
"期末六页A4速查表_v106_严格母题子题六页版.tex","779","likely-covered","“不可压无旋”","“不可压无旋”"
"期末六页A4速查表_v106_严格母题子题六页版.tex","781","likely-covered","“定常一维绝热”","“定常一维绝热”"
"期末六页A4速查表_v106_严格母题子题六页版.tex","783","likely-covered","“平均时均速度”","“平均时均速度”"
"期末六页A4速查表_v106_严格母题子题六页版.tex","785","likely-covered","“小球Re<1”","“小球Re<1”"
"期末六页A4速查表_v106_严格母题子题六页版.tex","787","likely-covered","“完全发展”","“完全发展”"
"期末六页A4速查表_v106_严格母题子题六页版.tex","789","likely-covered","“无压差Couette”","“无压差Couette”"
"期末六页A4速查表_v106_严格母题子题六页版.tex","791","likely-covered","“逆压梯度”","“逆压梯度”"
"期末六页A4速查表_v106_严格母题子题六页版.tex","793","likely-covered","“背压降低”","“背压降低”"
"期末六页A4速查表_v106_严格母题子题六页版.tex","795","likely-covered","“压力中心/形心”","“压力中心|形心”"
"期末六页A4速查表_v106_严格母题子题六页版.tex","798","likely-covered","计算细节防错","计算细节防错"
"期末六页A4速查表_v106_严格母题子题六页版.tex","799","likely-covered","单位统一","单位统一"
"期末六页A4速查表_v106_严格母题子题六页版.tex","801","likely-covered","截面积","截面积"
"期末六页A4速查表_v106_严格母题子题六页版.tex","803","likely-covered","水头与压力","水头与压力"
"期末六页A4速查表_v106_严格母题子题六页版.tex","805","likely-covered","查表/异常回退","查表|异常回退"
"期末六页A4速查表_v106_严格母题子题六页版.tex","807","likely-covered","答案量纲检查","答案量纲检查"
"期末六页A4速查表_v106_严格母题子题六页版.tex","809","likely-covered","方向检查","方向检查"
"期末六页A4速查表_v106_严格母题子题六页版.tex","811","likely-covered","结果合理性","结果合理性"
"期末六页A4速查表_v106_严格母题子题六页版.tex","814","likely-covered","可直接写的结论句","可直接写的结论句"
"期末六页A4速查表_v106_严格母题子题六页版.tex","815","likely-covered","势流结论句","势流结论句"
"期末六页A4速查表_v106_严格母题子题六页版.tex","817","likely-covered","达朗贝尔佯谬句","达朗贝尔佯谬句"
"期末六页A4速查表_v106_严格母题子题六页版.tex","819","likely-covered","边界层句","边界层句"
"期末六页A4速查表_v106_严格母题子题六页版.tex","821","likely-covered","管流损失句","管流损失句"
"期末六页A4速查表_v106_严格母题子题六页版.tex","823","likely-covered","激波句","激波句"
"期末六页A4速查表_v106_严格母题子题六页版.tex","825","likely-covered","膨胀波句","膨胀波句"
"期末六页A4速查表_v106_严格母题子题六页版.tex","827","likely-covered","阻塞句","阻塞句"
"期末六页A4速查表_v106_严格母题子题六页版.tex","829","likely-covered","湍流句","湍流句"
"期末六页A4速查表_v106_严格母题子题六页版.tex","832","likely-covered","题图识别+查表+公式链","题图识别+查表+公式链"
"期末六页A4速查表_v106_严格母题子题六页版.tex","833","likely-covered","题图一眼选模型","题图一眼选模型"
"期末六页A4速查表_v106_严格母题子题六页版.tex","847","likely-covered","小查表：空气等熵/PM","小查表|空气等熵|PM"
"期末六页A4速查表_v106_严格母题子题六页版.tex","858","likely-covered","小查表：正激波/光滑管","小查表|正激波|光滑管"
"期末六页A4速查表_v106_严格母题子题六页版.tex","861","likely-covered","量纲相似满分模板","量纲相似满分模板"
