unit_id,source_item_id,split_no,chapter,topic_folder,mother,child_type,confidence,represent_score,need_original_confirm,source_group,source_label,question_no,question_text,source_file
U00005,Q0005,1,概念综合,10_概念简答_综合证明,母题10：概念辨析/证明/综合判断,概念简答与证明,低-按原文件夹归类,16,是,往年期末题-主目录,2007.7流体力学期末真题及答案.pdf,整卷,[[PDF_PAGE 1]] [[PDF_PAGE 2]] [[PDF_PAGE 3]] [[PDF_PAGE 4]] [[PDF_PAGE 5]] [[PDF_PAGE 6]] [[PDF_PAGE 7]] [[PDF_PAGE 8]] [[PDF_PAGE 9]],D:\虚拟C盘\学习\流体力学\题库\期末试题\2007.7流体力学期末真题及答案.pdf
U00046,Q0045,2,概念综合,10_概念简答_综合证明,母题10：概念辨析/证明/综合判断,概念简答与证明,低-按原文件夹归类,16,否,往年期末题-其他目录,2003上海交大流体力学期末试题及答案.pdf,0.4,"7.84 × 105 ρt = = = 8.367 kg/m3 , Vt = M t γ RTt = 2 6.25 × 10−4 m 2 ρ tVt At = ρ eVe Ae ρtVt 8.367 × 2 7.32 解法二： = 0.9315 （1）由 p 0 倒查表FG1得 Me = 8.8 m/s mhtml:file://F:\Study\学习资料\流体力学\流体力学期末考试(2003.mht 2010/6/7 w 页码，6/6(W) pe 9.315 × 105 ρe = = =",D:\虚拟C盘\学习\流体力学\题库\其他试题\2003上海交大流体力学期末试题及答案.pdf
U00045,Q0045,1,概念综合,10_概念简答_综合证明,母题10：概念辨析/证明/综合判断,概念简答与证明,低-按原文件夹归类,15,否,往年期末题-其他目录,2003上海交大流体力学期末试题及答案.pdf,0.4,"0.98 × 350 = 343K 2 T0 2 350 Me = ( − 1) = ( − 1) = 9.46 kg/m3 , Ve = M e γ RTe = 118.8m/s RTe 287 × 343 0.6 ，查表FG1 = 0.93284 T0 Tt = 0.93284 × 350 = 326.5K = 0.784 p0 pt = 0.784 × 106 =",D:\虚拟C盘\学习\流体力学\题库\其他试题\2003上海交大流体力学期末试题及答案.pdf
U00384,Q0369,1,概念综合,10_概念简答_综合证明,母题10：概念辨析/证明/综合判断,概念简答与证明,低-按原文件夹归类,15,否,课本教材题-张扬军文本,流体力学教材_text.txt,2.2,"2.2.2 势函数 把式(2.2.1)分别乘以 dx 、 dy 、 dz 之后相加，则有 1 ⎛ ∂p ∂p ∂p ⎞ f x dx + f y dy + f z dz = ⎜ dx + dy + dz ⎟ ρ ⎝ ∂x ∂y ∂z ⎠ 因为 p = p ( x, y, z ) 为空间坐标的函数，上式右边括号内表示压强 p 的全微分，即 ∂p ∂p ∂p dp = dx + dy + dz ∂x ∂y ∂z 所以 ( dp = ρ f x dx + f y dy + f z dz ) (2.2.3) 如果流体为均质不可压缩，即 ρ = 常数。由于式(2.2.3)的左边是压强的全微分 dp ，那么 右边也可以看作某函数的全微分。通常采用 −π ( x, y, z ) 表示这函数，则 ⎛ ∂π ∂π ∂π ⎞ dp = ρ d ( −π ) = ρ ⎜ − dx − dy − dz ⎟ ⎝ ∂x ∂y ∂z ⎠ ∂π ∂π ∂π 与式(2.2.3)相比得 fx = − , fy = − , fz = − (2.2.4) ∂x ∂y ∂z 显然函数 −π ( x, y, z ) 在 x、y、z 轴方向的偏导数正好等于单位质量力在各坐标轴上的投影。函 数 −π 的物理意义可进一步分析如下：在所取的某空间中任意一点上都存在质量力，因此可称 为质量力场。取空间中一点 A ( x, y, z ) ，其单位质量力在各坐标轴的分量分别为 f x 、 f y 、 f z 。 若 A 点处单位质量流体在质量力的作用下移动了 dl 距离，而 dl 在各坐标轴的分量分别为 dx 、 dy 、 dz ，那么单位质量力所做的功为 f x dx + f y dy + f z dz = d ( −π ) ，并且该功转化为流体的势 能的增量。由此可见 −π ( x, y, z ) 反映了单位质量流体的势能(或位能)，所以称为势函数。在重 力场中，单位质量力的三个分量分别为 f x = f y = 0 ， f z = − g ，于是 ∂π ∂π ∂π dπ = dx + dy + ( ) dz = − f x dx + f y dy + f z dz = gdz 积分后可得重力场中静止(平衡)流体的势函数 π = gz (2.2.5) 对于质量为 m 的物体，在基准面以上高度为 z 时，其势能是 mgz 。因此，在重力场中， 势函数 π 的物理意义是单位质量流体所具有的重力势能。 第 2 章 流体静力学 ·17·",D:\虚拟C盘\学习\流体力学\张扬军（车辆学院）\教材\流体力学教材_text.txt
U00432,Q0396,3,概念综合,10_概念简答_综合证明,母题10：概念辨析/证明/综合判断,概念简答与证明,低-按原文件夹归类,15,否,课本教材题-张扬军文本,流体力学教材_text.txt,2,3-9 所示的几何关系可知， α 2 − α1 ∠FOB − ∠F ′O′ B′ = ∠FOF ′ − α1 = α − α1 = 2 α 2 − α1 ∠COF − ∠C ′O′ F ′ = α 2 − ∠FOF ′ = α 2 − α = 2 图 3-9 流体微团角变形 忽略高阶小量，可以得到 α1 和 α2 表达式如下： ΔxΔt BB′ BB′′ ∂w α1 = = = − ∂x =− Δt OB OB Δx ∂x Δz Δt CC ′ CC ′′ ∂u α2 = = = ∂z = Δt OC OC Δz ∂z 第 3 章 流体运动描述与分析 ·45· 代入上式中，可以得到 1 ⎛ ∂u ∂w ⎞ ε xz = ε zx = ⎜ + ⎟ (3.4.14) 2 ⎝ ∂z ∂x ⎠ 用类似的方法可求得其他两个平面上的角变形率为 1 ⎛ ∂u ∂v ⎞ ε xy = ε yx = ⎜ + ⎟ (3.4.15) 2 ⎝ ∂y ∂x ⎠ 1 ⎛ ∂w ∂v ⎞ ε yz = ε zy = ⎜ + ⎟ (3.4.16) 2 ⎝ ∂y ∂ z ⎠ 从上述分析可以发现，六面体流体微团的角变形率虽然有六个，但其中只有三个是独立的。,D:\虚拟C盘\学习\流体力学\张扬军（车辆学院）\教材\流体力学教材_text.txt
U00439,Q0402,1,概念综合,10_概念简答_综合证明,母题10：概念辨析/证明/综合判断,概念简答与证明,低-按原文件夹归类,15,否,课本教材题-张扬军文本,流体力学教材_text.txt,3.5,5.3 涡管强度守恒定理 在同一时刻，同一涡管各个截面上的涡通量相同， 即涡管强度守恒定理。证明过程如下。 在某一时刻，任取一段涡管，如图 3-13 所示，涡管截 面为 A1 、 A2 (它们的边界线为绕涡管的封闭曲线)，涡 管侧面为 A3 。该段涡管表面积为 A = A1 + A2 + A3 。通 图 3-13 涡管通量 过该段涡管表面的涡通量按式(3.5.5)积分可得 J = ∫∫ Ω ⋅ ndA = − ∫∫ Ω1 ⋅ n1dA + ∫∫ Ω2 ⋅ n2 dA + ∫∫ Ω3 ⋅ n3dA (3.5.7) A A1 A2 A3 其中， n 为外法线的单位向量，而 n1 指向内侧，因此在 n1 前应加负号。 根据涡管的定义，在 A3 曲面上的涡线与曲面法线垂直，所以式(3.5.7)右侧第三项为零， 于是可得 J = − ∫∫ Ω1 ⋅ n1dA + ∫∫ Ω2 ⋅ n2dA (3.5.8) A1 A2 另外根据高斯定理，由式(3.5.7)可得 J = ∫∫ Ω ⋅ ndA = ∫∫∫ ∇ ⋅ Ωd∀ = 0 (3.5.9) A ∀ 其中，∀ 为封闭曲面 A 围成的体积。将式(3.5.9)代入式(3.5.8)中，可以得到 ∫∫ Ω1 ⋅ n1dA = ∫∫ Ω2 ⋅ n2dA (3.5.10) A1 A2 涡管截面 A1 和 A2 的选择具有任意性，由此可以得出结论：在同一时刻，同一涡管各截面的涡 通量不变，即涡管通量守恒。通常又把涡管的涡通量称为涡管强度，涡通量守恒定理又称为 涡管强度守恒定理。 对于微元涡管，若近似地认为截面 A1 及 A2 上的涡量为常数，并且涡量与截面 A1 及 A2 的 法线方向平行，则涡通量守恒公式可以写成 Ω1 A1 = Ω 2 A2 (3.5.11) 由涡管强度守恒定理可以得出两个结论。,D:\虚拟C盘\学习\流体力学\张扬军（车辆学院）\教材\流体力学教材_text.txt
U00011,Q0011,1,第2章 流体静力学,01_静水压力_测压_闸门,母题1：静水压强/测压/闸门受力,平面闸门/曲面压力/浮力稳定,中,20,否,往年期末题-主目录,工程流体力学期末考试及答案.pdf,6,6.如图所示，有一直径 d=12cm 的圆柱体，其质量 m=5kg，在力 F=100N 的作用下，当淹深 h=0.5m 时，处 于静止状态，求测压管中水柱的高度 H。（12 分）,D:\虚拟C盘\学习\流体力学\题库\期末试题\工程流体力学期末考试及答案.pdf
U00394,Q0374,3,第2章 流体静力学,01_静水压力_测压_闸门,母题1：静水压强/测压/闸门受力,平面闸门/曲面压力/浮力稳定,中,17,否,课本教材题-张扬军文本,流体力学教材_text.txt,2.4,"2-10 U 形管测压计 点 2 的压强相等，即 p1 = p2 。由式(2.3.4) p1 = p + ρ1 gh1 , p2 = pa + ρ 2 gh2 由于点 1 和点 2 的压强相等，可得 p + ρ1 gh1 = pa + ρ 2 gh2 因此，M 点的绝对压强为 p = pa + ρ 2 gh2 − ρ1 gh1 (2.4.4) 相应地，M 点的相对压强为 pg = p − pa = ρ2 gh2 − ρ1gh1 (2.4.5) 由式(2.4.4)和式(2.4.5)，可根据测得的 h1 和 h2 以及已知的 ρ1 和 ρ 2 计算出被测点的绝对压强和 相对压强。 当被测容器中的流体压强小于大气压，即 p < pa 时，在大气压作用下，U 形管右管内的 液面下降，左管内的液面上升，直到平衡，如图 2-10(b)所示。M 点压强的计算方法与上面相 似，M 点的绝对压强为 p = pa − ρ 2 gh2 − ρ1 gh1 (2.4.6) M 点的真空为 pv = pa − p = ρ 2 gh2 + ρ1 gh1 (2.4.7) 当使用 U 形管测压计测量气体压强时，如果气体的密度很小，那么式(2.4.4)～式(2.4.6) 中 ρ1 gh2 项可以忽略不计。若被测流体的压强较高，仅用一个 U 形管则过长，此时可以采用 串联的 U 形管组成多 U 形管测压计进行测量。实际应用中常 采用双 U 形管或三 U 形管串联测压计。 在图",D:\虚拟C盘\学习\流体力学\张扬军（车辆学院）\教材\流体力学教材_text.txt
U00007,Q0007,1,第2章 流体静力学,01_静水压力_测压_闸门,母题1：静水压强/测压/闸门受力,静水压强与平面/曲面受力,低-按原文件夹归类,16,是,往年期末题-主目录,工程流体力学期末考试及答案.pdf,2,2.如图所示，p 表示绝对压强，pa 表示大气压强，试在图中括号内填写所表示的压强。（4 分）,D:\虚拟C盘\学习\流体力学\题库\期末试题\工程流体力学期末考试及答案.pdf
U00665,Q0548,2,第2章 流体静力学,03_流体运动学_连续_应力张量,母题1：静水压强/测压/闸门受力,平面闸门/曲面压力/浮力稳定,中,16,否,课本教材题-张扬军文本,流体力学教材_text.txt,11.3,"1-5 涡束诱导出的涡流 托克斯定理可知，包围该涡束的速度环量也为 常数。利用环量的定义，可求出涡流在不同半径圆周线上的速度，即 Γ = 2πruθ (11.3.22) 于是可得涡流周向运动速度 (11.3.23) uθ = 2πr 在涡流区域，流体运动速度与半径成反比。在涡束内部，流动速度与半径成正比，即 uθ = rω ，其中， ω 为涡束旋转的角速度。根据涡流区速度分布式(11.3.23)，可知涡流区域流 动无旋，称为势流旋转区。涡束内部流动有旋，称为涡核区。 将涡流速度与半径关系式(11.3.23)代入伯努利方程，忽略体积力，可得势流旋转区的压 强分布为 1 ρ Γ2 p = p∞ − ρ uθ2 = p∞ − 2 2 (11.3.24) 2 8π r 其中， p∞ 为距离涡核区无穷远处 (r → ∞ ) 的压强。势流旋转区的压强随半径增加而增加。令 在涡核表面压强 p = p0 ，那么根据式(11.3.24)可以得到涡核半径表达式为 Γ ρ r0 = (11.3.25) 2π 2 ( p∞ − p0 ) 接下来求解涡核内部的压强分布。涡核内部为有旋流动，根据欧拉运动微分方程即可求 解流体的压强。平面二维定常欧拉运动微分方程为 ∂u ∂u 1 ∂p ∂v ∂v 1 ∂p u +v =− , u +v =− (11.3.26) ∂x ∂y ρ ∂x ∂x ∂y ρ ∂y ·196· 流 体 力 学 在涡核内部速度分量为 u = −ω y 、 v = ω x ，代入式(11.3.26)中可得 1 ∂p 1 ∂p ω2x = , ω2 y = (11.3.27) ρ ∂x ρ ∂y 式(11.3.27)分别乘以 dx 和 dy ，并相加可得 1 ⎛ ∂p ∂p ⎞ ω 2 ( xdx + ydy ) = ⎜ dx + dy ⎟ (11.3.28) ρ ⎝ ∂x ∂y ⎠ ω2 进一步化简，可得 2 ( ) ρ1 dp d x2 + y 2 = (11.3.29) 积分式(11.3.29)，可得 1 2 ( ) 1 1 ρω 2 x 2 + y 2 + C = ρω 2 r 2 + C = ρ uθ2 + C 2 2",D:\虚拟C盘\学习\流体力学\张扬军（车辆学院）\教材\流体力学教材_text.txt
